a_id,role,is_bot,is_control
69282312,ctrl_hpneg,False,True
69288220,bot_hp,True,False
69852121,bot_hp,True,False
69853320,bot_hp,True,False
69869701,ctrl_hpneg,False,True
69869757,bot_hp,True,False
69871711,labeled_pothuman,False,True
69957526,bot_hp,True,False
69961514,bot_hp,True,False
69963305,bot_hp,True,False
69985478,bot_hp,True,False
70049347,bot_hp,True,False
70091608,bot_hp,True,False
70121226,bot_hp,True,False
70477581,bot_hp,True,False
70510456,bot_hp,True,False
70636563,ctrl_hpneg,False,True
70660683,bot_hp,True,False
70739134,labeled_pothuman,False,True
70740737,bot_hp,True,False
70741826,bot_hp,True,False
70749747,bot_hp,True,False
70814519,bot_hp,True,False
70831358,ctrl_hpneg,False,True
70865099,bot_hp,True,False
70925120,bot_hp,True,False
70925614,bot_hp,True,False
70929209,bot_hp,True,False
70937319,bot_hp,True,False
70937321,bot_hp,True,False
70938938,bot_hp,True,False
70939262,bot_hp,True,False
70943900,bot_hp,True,False
70944102,bot_hp,True,False
70947518,bot_hp,True,False
70958009,bot_hp,True,False
70958010,bot_hp,True,False
70986633,bot_hp,True,False
70989431,bot_hp,True,False
71016936,bot_hp,True,False
71019399,bot_hp,True,False
71019400,bot_hp,True,False
71021131,bot_hp,True,False
71024437,labeled_pothuman,False,True
71039083,bot_hp,True,False
71043804,bot_hp,True,False
71057792,bot_hp,True,False
71097797,labeled_pothuman,False,True
71123252,bot_hp,True,False
71124429,bot_hp,True,False
71145507,bot_hp,True,False
71146370,bot_hp,True,False
71152681,bot_hp,True,False
72771662,ctrl_hpneg,False,True
72801677,bot_hp,True,False
72849948,bot_hp,True,False
73071769,bot_hp,True,False
73071770,bot_hp,True,False
73097880,bot_hp,True,False
73101654,bot_hp,True,False
73293842,bot_hp,True,False
73306621,bot_hp,True,False
73351166,bot_hp,True,False
73353532,bot_hp,True,False
73375832,ctrl_hpneg,False,True
73396873,bot_hp,True,False
73438394,ctrl_hpneg,False,True
73441896,bot_hp,True,False
73469952,bot_hp,True,False
73492871,bot_hp,True,False
73494979,bot_hp,True,False
73498797,bot_hp,True,False
73501858,bot_hp,True,False
73501912,bot_hp,True,False
73532942,bot_hp,True,False
74013154,bot_hp,True,False
74013548,bot_hp,True,False
74029068,bot_hp,True,False
74059844,bot_hp,True,False
74066654,labeled_bot,True,False
74446706,labeled_chrome,False,True
74618681,bot_hp,True,False
74657915,bot_hp,True,False
