a_id,role,is_bot,is_control,a_totalhit,a_start,a_last
1410033732,bot_hp,True,False,10.0,2021-01-15,2023-01-13
1410033815,bot_hp,True,False,123.0,2021-01-15,2023-02-26
1410033969,bot_hp,True,False,9.0,2021-01-15,2023-01-12
1410034003,bot_hp,True,False,7.0,2021-01-15,2022-08-17
1410034219,bot_hp,True,False,6.0,2021-01-15,2022-03-29
1410034240,bot_hp,True,False,12.0,2021-01-15,2023-02-21
1410034324,bot_hp,True,False,19.0,2021-01-15,2023-02-21
1410034375,bot_hp,True,False,119.0,2021-01-15,2023-02-26
1410034578,bot_hp,True,False,16.0,2021-01-15,2023-01-13
1410034869,bot_hp,True,False,8.0,2021-01-15,2023-02-24
1410034886,bot_hp,True,False,7.0,2021-01-15,2022-08-24
1410035376,bot_hp,True,False,7.0,2021-01-15,2022-07-06
1410036023,bot_hp,True,False,12.0,2021-01-15,2022-09-30
1410036508,bot_hp,True,False,4.0,2021-01-15,2022-05-21
1410037177,bot_hp,True,False,6.0,2021-01-15,2023-02-21
1410037342,bot_hp,True,False,11.0,2021-01-15,2022-08-05
1410037456,bot_hp,True,False,7.0,2021-01-15,2022-08-28
1410037571,bot_hp,True,False,8.0,2021-01-15,2023-02-21
1410037853,bot_hp,True,False,10.0,2021-01-15,2022-06-03
1410037963,bot_hp,True,False,3.0,2021-01-15,2022-08-05
1410037966,bot_hp,True,False,9.0,2021-01-15,2022-09-30
1410038202,bot_hp,True,False,114.0,2021-01-15,2023-02-26
1410038473,bot_hp,True,False,14.0,2021-01-15,2023-01-13
1410038584,bot_hp,True,False,13.0,2021-01-15,2022-08-05
1410038663,bot_hp,True,False,3.0,2021-01-15,2022-08-05
1410038723,bot_hp,True,False,11.0,2021-01-15,2023-02-20
1410038796,bot_hp,True,False,15.0,2021-01-15,2022-07-07
1410038819,bot_hp,True,False,11.0,2021-01-15,2022-09-29
1410038960,bot_hp,True,False,5.0,2021-01-15,2022-05-10
1410039136,bot_hp,True,False,4.0,2021-01-15,2023-02-20
1410039152,bot_hp,True,False,6.0,2021-01-15,2022-08-05
1410039241,bot_hp,True,False,11.0,2021-01-15,2023-02-20
1410039454,bot_hp,True,False,8.0,2021-01-15,2022-08-24
1410039981,bot_hp,True,False,9.0,2021-01-15,2022-07-06
1410040044,bot_hp,True,False,9.0,2021-01-15,2022-07-27
1410040063,bot_hp,True,False,4.0,2021-01-15,2022-06-27
1410040105,bot_hp,True,False,14.0,2021-01-15,2022-08-05
1410040315,bot_hp,True,False,9.0,2021-01-15,2023-02-24
1410040421,bot_hp,True,False,9.0,2021-01-15,2022-08-05
