a_id,group,density,active_responder,active_post_lag,active_pre_lag,active_post_ccf,calendar_responder,calendar_post_lag,calendar_pre_lag,calendar_post_ccf
2004869018,verified,0.2930298719772404,True,13.0,-4.0,0.03904974066495858,True,14.0,-13.0,0.06172969563111191
2006423495,verified,0.2920863309352518,False,10.0,-14.0,-0.014696000203769209,True,14.0,-6.0,0.00610627952307944
2006604953,verified,0.33884297520661155,True,4.0,-4.0,0.18040755082768625,True,4.0,-6.0,0.20219227274889856
2009239953,verified,0.2490974729241877,True,11.0,-7.0,0.020462924851595187,True,11.0,-10.0,0.031965390248252026
2009506179,verified,0.4956521739130435,True,1.0,-10.0,0.034897310744762614,True,1.0,-14.0,0.04826438927052753
2023219812,verified,0.40236686390532544,False,6.0,-3.0,0.1795101710364188,True,3.0,-2.0,0.29578297817224203
2065926040,verified,0.22790697674418606,True,14.0,-5.0,0.042554358310545354,True,5.0,-2.0,0.05070899175864743
2069724493,verified,0.8450502152080345,False,11.0,-12.0,0.0774307335615683,True,11.0,-13.0,0.05280441929663853
2081633662,verified,0.23953823953823955,True,14.0,-5.0,-0.05124196563312668,True,9.0,-11.0,0.022582960340785045
2144797380,verified,0.8626292466765141,False,5.0,-4.0,0.046719957183340155,False,5.0,-4.0,0.05388814988046464
41731,abusive,0.06848357791754019,False,9.0,-12.0,-0.11644153278598583,True,5.0,-1.0,0.0753629922189613
42945,abusive,0.6291666666666667,False,14.0,-4.0,0.15448535653530582,False,7.0,-4.0,0.10002715303068868
42963,abusive,0.21125781792911744,True,14.0,-12.0,0.12013865259740437,False,8.0,-8.0,0.06468549174507432
42965,abusive,0.21319444444444444,False,8.0,-3.0,-0.06295508511267932,False,1.0,-3.0,0.10753324606369372
43261,abusive,0.5879082696316886,True,6.0,-7.0,0.1617254407317528,True,2.0,-6.0,0.1302541992330562
44367,abusive,0.46298882681564246,True,9.0,-6.0,0.1805212770039464,False,4.0,-10.0,0.012111919002589672
44755,abusive,0.5898328690807799,False,8.0,-1.0,0.05252959216149812,True,9.0,-14.0,0.09159720882430467
