group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2021-02,19893,264986,4304012.0,0.001388936647946149,0.021294317952645112,0.7801595348711853
bot,2021-03,21945,248090,4446964.0,0.0009698751777617269,0.011883388307168665,0.8663976141925143
bot,2021-04,15074,73473,10943344.0,0.00045735563096618365,0.013677994587394859,0.9059512339189922
bot,2021-05,15370,91503,6443580.0,0.001319763237206646,0.002645268623963697,0.9153341775845105
bot,2021-06,13308,64281,3105438.0,0.0037157399374902994,0.004446393713221774,0.9001764002372612
bot,2021-07,14732,62280,2635285.0,0.003300591776601013,0.004790373716694779,0.9117036677247432
bot,2021-08,14282,53962,1831390.0,0.004053205488727142,0.008123338011018952,0.8827797465313232
bot,2021-09,15863,65644,1700999.0,0.003974135199374015,0.009636689968659594,0.8721604186716159
bot,2021-10,13428,71584,1675385.0,0.005139117277521286,0.009145360618604083,0.8648949345971224
bot,2021-11,12374,83183,1663563.0,0.004317239563515178,0.008969302635367582,0.800068888283762
bot,2021-12,12272,79915,1383879.0,0.006736860664841362,0.00974940728199503,0.855045130390735
bot,2022-01,11812,70717,1327797.0,0.007713528498708763,0.013782227253111734,0.8293948547857842
bot,2022-02,10828,66000,1252713.0,0.009385230296165203,0.010525954468421738,0.804015764185412
bot,2022-03,12052,64842,1285990.0,0.0067675487367708925,0.012445664429738957,0.8183835022045273
bot,2022-04,17444,99754,1257789.0,0.011166419804911634,0.01200837342352334,0.7981736205357178
bot,2022-05,16860,82111,1106458.0,0.007403805657331774,0.008592282761749654,0.7765870914214548
bot,2022-06,10386,39036,509488.0,0.014434098545991269,0.00822590522249788,0.7937399899506956
bot,2022-07,12622,77287,1324019.0,0.0086335619050784,0.007283883388380378,0.7748499077430158
bot,2022-08,12826,74461,1468290.0,0.011682297093898345,0.007258784027678456,0.7527273222592267
bot,2022-09,12592,52775,1144435.0,0.00866453752288247,0.012467287351400473,0.7020040456644545
bot,2022-10,4281,12534,318866.0,0.0185971536632943,0.01097639760902699,0.7339697553204168
bot,2022-12,7737,34495,784464.0,0.005398590630035285,0.01224912806706235,0.7393863835689082
bot,2023-01,9477,54105,968120.0,0.0057317274718010165,0.010995537743254968,0.7399836797091269
bot,2023-02,9502,46361,864129.0,0.01208268672848614,0.013392676324946853,0.7436517001512506
bot,2023-03,4200,8801,168549.0,0.0060338536568001,0.020172175450462477,0.7452432230389976
control,2019-03,1336,18542,905520.0,0.014634685042848308,0.007077701210354272,0.7870969166887535
control,2019-04,1816,24259,2588505.0,0.3712061595399661,0.004709668322062348,0.495596492956359
control,2019-05,2823,36088,3860959.0,0.0058249776804156685,0.004196366757585356,0.8033128556920703
control,2019-06,2511,37893,3493787.0,0.011527319782230571,0.003470732474532649,0.785251075695227
control,2019-07,2470,30513,3264456.0,0.01700497724582595,0.003822995316830737,0.7667154956292871
control,2019-08,2735,27471,2530906.0,0.006370841113814579,0.0046153432802324545,0.8038500837249586
control,2019-09,2897,36385,3420625.0,0.006054449113831537,0.0042653023935684264,0.781781691942262
control,2019-10,2948,49127,5220221.0,0.005806650714596183,0.0038607560867633763,0.8143216541981652
control,2019-11,2715,45743,4364269.0,0.0067889949038430035,0.004828070863642914,0.8390012164694706
control,2019-12,2518,36386,3026900.0,0.007560870857973505,0.004881561994119396,0.8126991311242525
control,2020-01,2882,50554,4010214.0,0.00906061372285868,0.004467093277316372,0.8074414482618634
control,2020-02,3214,53406,5410453.0,0.00784425999079929,0.0040656484771238195,0.8068525870199779
control,2020-03,3505,58452,5097693.0,0.007891412841063594,0.00515958885715558,0.7850421749603202
control,2020-04,3649,60678,5214842.0,0.005719444615963436,0.0034223472158888034,0.7961027390666869
control,2020-05,3837,65074,5647149.0,0.008024048949301674,0.007020002482668688,0.7707248383210714
control,2020-06,3841,66070,5632198.0,0.00449788874609877,0.0038100578140186124,0.7755149943237081
control,2020-07,3820,68764,5527199.0,0.0052985246234123285,0.0045120503169869585,0.7443678072745346
control,2020-08,3960,65052,5314292.0,0.006250127015978798,0.005192225041454252,0.741237591009301
control,2020-09,3853,70509,6563501.0,0.007823873265197949,0.006342499224118348,0.6860058374334064
control,2020-10,3439,31420,2790849.0,0.006097786014220045,0.006835912655969564,0.6430659630814852
control,2021-01,4127,64281,14771600.0,0.0027131793441468764,0.002355127406645184,0.8619215927861572
control,2021-02,4457,97250,21684682.0,0.002021841961989574,0.0022112844449367532,0.8575226512429373
control,2021-03,5508,92113,24713632.0,0.0016750674283731344,0.002009660093668142,0.8857884587744934
control,2021-04,6806,52010,36356460.0,0.0009039383922417089,0.0010717490096670578,0.9045188117875063
control,2021-05,5176,71737,31124322.0,0.0013514189963720333,0.0008726937087978977,0.8938376231938482
control,2021-06,4381,59242,13116980.0,0.0041564445474491845,0.001843869549240755,0.8323075890944409
control,2021-07,4535,58620,10524484.0,0.01360085682110401,0.0021871856140405553,0.809304570181303
control,2021-08,4309,54698,7655618.0,0.005547821220964787,0.0029238658459708935,0.8077068369921279
control,2021-09,4245,54568,7701831.0,0.0038203902422683646,0.00332245669893302,0.795036920441386
control,2021-10,4239,57537,7854874.0,0.0055741186936926045,0.00237381274352714,0.7954947463192917
control,2021-11,4284,55731,6734764.0,0.0066994181236343245,0.0025050617957808174,0.7842145619356521
control,2021-12,4154,52608,6344207.0,0.014851816783405712,0.00305932640596374,0.7686264020073746
control,2022-01,4141,51129,7025675.0,0.008373287975888438,0.002008063282175734,0.7960083550690858
control,2022-02,4071,45493,7316453.0,0.008503437389675024,0.001437035131640974,0.8036354501286347
control,2022-03,4047,47245,5619590.0,0.008710066036846105,0.0021101183538300835,0.7874505079552067
control,2022-04,3956,46465,5880992.0,0.007304379941343229,0.0019979622485458235,0.7632098462300237
control,2022-05,3756,43244,6505087.0,0.01723143748884527,0.001278384132295233,0.692719098145805
control,2022-06,3289,22939,3570810.0,0.009530050604764745,0.0012618985608307358,0.7315239399463987
control,2022-07,3906,46518,7904623.0,0.010974590439038015,0.0011975270673882867,0.7709478364749337
control,2022-08,4005,50863,5303744.0,0.007113088414523778,0.0014046680986110943,0.7333494980149872
control,2022-09,3873,45101,5447368.0,0.006958589909842698,0.0015550629221304673,0.7151040649355799
control,2022-10,2793,11716,1754136.0,0.012084011729991288,0.00128154259418882,0.7736595110071283
control,2022-12,3238,25799,3698066.0,0.01814461937672286,0.00821023745925573,0.6758624643259477
control,2023-01,3619,38623,7276447.0,0.02158319850333549,0.004133748242789372,0.6348926886982067
control,2023-02,3632,30664,6029489.0,0.026289955915003743,0.004616477449415696,0.5915547735471447
control,2023-03,2562,6782,2197443.0,0.036480582203952505,0.0008387020732733454,0.46621186533621123
