group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2021-07,2905,8257,121985.0,0.012247407468131327,0.0002951182522441284,0.7950731647333689
bot,2021-08,2819,7509,116018.0,0.02992639073247255,0.0004482063128135289,0.7347652950404248
bot,2021-09,3427,11624,99224.0,0.01109610578085947,0.0025800209626703216,0.8021446424252197
bot,2021-10,3066,13725,136657.0,0.008905507950562356,0.0002853860395003549,0.8102987772305846
bot,2021-11,2750,23435,140561.0,0.005620335654982534,0.00027034525935359027,0.7000234773514702
bot,2021-12,2907,25892,123343.0,0.007993968040342784,0.0003810512149047777,0.7065662421053485
bot,2022-01,2826,26912,166503.0,0.010660468580145703,7.807667129120797e-05,0.7212242422058461
bot,2022-02,2642,26770,198101.0,0.012099888440744873,0.0001665816931767129,0.6070337857961343
bot,2022-03,2610,23155,139184.0,0.00341274859179216,0.00017961834693642947,0.7234236693872859
bot,2022-04,4087,31883,162314.0,0.004140123464396171,9.241347018741451e-05,0.7475263994479835
bot,2022-05,3781,25609,141521.0,0.008436910423188079,0.00018371831742285596,0.7292486627426318
bot,2022-06,2633,13287,131627.0,0.008782392670196844,3.7986127466249326e-05,0.8022594148616925
bot,2022-07,2741,26361,237944.0,0.00872053928655482,7.144538210671418e-05,0.7789900144571832
bot,2022-08,2810,20212,168957.0,0.009617831756008926,0.00013612931100812634,0.6833158732695301
bot,2022-09,1904,5562,119655.0,0.015853913334169068,0.000158789854164055,0.7524299026367474
bot,2022-10,424,1091,40403.0,0.04076429968071678,7.425191198673365e-05,0.6648021186545554
bot,2022-12,799,3647,175686.0,0.016091208178227064,0.00010814749040902519,0.7900800291429027
bot,2023-01,979,5363,194934.0,0.014697282157037767,0.0001231185939856567,0.8063857510747228
bot,2023-02,823,3936,223993.0,0.016228185702231765,0.00019197028478568526,0.8115566111440983
bot,2023-03,430,869,50025.0,0.013653173413293354,0.0019390304847576212,0.8245477261369315
control,2019-03,6,8,36.0,0.0,0.0,0.7777777777777778
control,2019-04,23,147,5207.0,0.0,0.0,0.7355483003648934
control,2019-05,34,519,71959.0,0.00022234883753248378,0.0,0.484317458552787
control,2019-06,37,738,243064.0,0.0018472501069677122,8.228285554421881e-06,0.6077740841918178
control,2019-07,39,637,388511.0,0.0009420582686204509,5.147859391368584e-06,0.5848457315236891
control,2019-08,41,604,125216.0,0.0009104267825198058,0.0008305647840531562,0.7460388448760542
control,2019-09,43,758,116226.0,0.0006022748782544353,0.004491249806411646,0.817717206132879
control,2019-10,51,1132,235013.0,0.0007957006633675584,0.0019573385302089673,0.879066264419415
control,2019-11,52,1149,181275.0,0.00024272514135981245,0.0012963729140808165,0.8703737415528893
control,2019-12,56,990,251253.0,0.0018666443783755815,0.000620888108798701,0.8801248144300765
control,2020-01,65,1522,282149.0,0.001821732488862268,0.0007371991394617737,0.8472119341199154
control,2020-02,69,1699,275038.0,0.0018033871683185597,0.0008289763596303056,0.8463630480151834
control,2020-03,75,1839,342472.0,0.0013782148613609288,0.0005635497208530916,0.8625493470999089
control,2020-04,81,1980,695171.0,0.0009839305724778508,0.000293452977756552,0.9071552179247984
control,2020-05,86,2117,639004.0,0.0016275328479946917,0.00044444166233701196,0.8694468266239335
control,2020-06,90,2280,745044.0,0.0013958907124948326,0.0004107139980994411,0.8694144238461085
control,2020-07,96,2489,506519.0,0.005016593651965671,0.00037905784383211684,0.8330388396091756
control,2020-08,99,2387,593263.0,0.00582709523432272,0.0002916076006762599,0.8520116710463993
control,2020-09,104,2679,875652.0,0.017631433491843793,0.00036201596067844303,0.7358905135830216
control,2020-10,103,1216,318095.0,0.01764567189047297,0.00035209607192819754,0.6596079787484871
control,2021-01,128,2187,410506.0,0.014966894515549103,0.0031595153298611955,0.5393392544810551
control,2021-02,135,3444,651670.0,0.014286371936716436,0.0017432135897003085,0.5621142602851136
control,2021-03,170,3389,655777.0,0.01184244034176252,0.0013968162957834751,0.6917214235936912
control,2021-04,158,2528,1675925.0,0.0003359338872562913,1.1933708250667541e-05,0.8759998209943762
control,2021-05,160,3607,3217147.0,0.0005588802749765553,2.113674009922456e-05,0.8897451686230067
control,2021-06,155,3268,1413264.0,0.0009750478325351809,6.368236932377815e-05,0.8528597629317665
control,2021-07,160,3287,1082534.0,0.0027186213088919147,4.895920128143781e-05,0.8304053267610995
control,2021-08,159,2959,782217.0,0.00469051426905833,9.588132193496179e-05,0.8597754842965571
control,2021-09,157,2964,631176.0,0.001478193087189627,0.00013466925231631115,0.8719279567030432
control,2021-10,148,2730,596329.0,0.0014941416567029273,8.216940648534617e-05,0.8133412931452269
control,2021-11,145,2614,491944.0,0.001648561624900395,9.147382628917113e-05,0.8074272681443416
control,2021-12,142,2481,455993.0,0.0038706734533205554,0.00023026669269045797,0.6861969372336856
control,2022-01,141,2411,345747.0,0.0016746349209103768,0.00030658255892314324,0.8612598229341107
control,2022-02,134,2123,292298.0,0.001443732081642707,0.0005097537444662639,0.84804548782407
control,2022-03,131,2098,293332.0,0.0006511393233605608,0.00023863744835203796,0.8544516111436871
control,2022-04,130,2003,268401.0,0.0017250308307346098,0.004120699997391962,0.8076460221832259
control,2022-05,119,1896,226159.0,0.0038291644374090794,0.0016315954704433607,0.775591508628885
control,2022-06,110,1000,100428.0,0.00652208547417055,0.001802286214999801,0.8306946269964551
control,2022-07,128,2084,282497.0,0.013550586377908439,0.0011469148344938175,0.7771339164663695
control,2022-08,124,1979,193797.0,0.004257031842598183,0.003080543042461958,0.7920194843057426
control,2022-09,115,1713,161831.0,0.0009516100129147074,0.004399651488280984,0.7733376176381533
control,2022-10,94,452,43100.0,0.011832946635730859,0.0009744779582366589,0.8393967517401392
control,2022-12,106,1031,57796.0,0.006038480171638176,0.011523288808914112,0.7542044432140632
control,2023-01,113,1687,95040.0,0.0030303030303030303,0.009659090909090909,0.7631628787878788
control,2023-02,107,1259,62795.0,0.003121267616848475,0.013456485388964089,0.7895692332192054
control,2023-03,79,256,12344.0,0.0012151652624756966,8.101101749837978e-05,0.7647440051847051
other,2019-03,51,102,1816.0,0.0005506607929515419,0.0005506607929515419,0.762114537444934
other,2019-04,286,1005,148589.0,0.009314283022296402,0.00041725834348437635,0.8251351042136362
other,2019-05,797,3408,634361.0,0.0013620005012918513,0.0014423963642153286,0.8055775812195264
other,2019-06,585,3981,798367.0,0.002171933459173538,0.0030424604223370957,0.8682448047076095
other,2019-07,583,3817,653963.0,0.0013639915408058254,0.0032387153401645047,0.8323911291617415
other,2019-08,776,4947,846937.0,0.0010331346959691217,0.004718178565820126,0.8357540171228792
other,2019-09,768,7090,1343300.0,0.0008747115313035063,0.007020025310801757,0.8285423955929427
other,2019-10,838,10190,1922873.0,0.0008710923706349821,0.007999488265735698,0.8667213071274078
other,2019-11,807,9953,1836713.0,0.0017874322226716967,0.007464965947320022,0.8882541801577056
other,2019-12,663,8068,1138696.0,0.0016202744191601622,0.009308015484378623,0.8678707925556953
other,2020-01,933,11800,1310968.0,0.006935333280446205,0.0087530740643555,0.8291338919027772
other,2020-02,1019,12923,1755221.0,0.002680004398306538,0.010176496293059393,0.8272439766844175
other,2020-03,1267,17979,2425854.0,0.004092167129596423,0.010736425192942363,0.8066907571519143
other,2020-04,1346,19931,2004765.0,0.003020304125421184,0.010951907081378616,0.7975303838604525
other,2020-05,1413,21993,2261971.0,0.005410325773407352,0.009065545048986039,0.763172914241606
other,2020-06,1426,22081,1945821.0,0.0028409601910967144,0.010695228389456173,0.7554127537938998
other,2020-07,1333,22856,2340734.0,0.0024791368861220454,0.010104522769353544,0.7725533956442723
other,2020-08,1431,21360,1953728.0,0.0026375217020997805,0.011962258820060929,0.7643111016477216
other,2020-09,1360,23326,2888196.0,0.001521711130408047,0.009415565979594183,0.7308157064132766
other,2020-10,1239,10743,1928805.0,0.0014584159622149466,0.00607837495236688,0.7424560803191613
other,2021-01,1646,28819,8287298.0,0.0005070410162636845,0.004120281423450683,0.9392005693532439
other,2021-02,1690,43145,12466741.0,0.0005731249249503138,0.006405523303965327,0.9370923804384803
other,2021-03,1777,39053,11983182.0,0.0005360846559786874,0.004427788879447879,0.9404380238904825
other,2021-04,1308,11680,6926022.0,0.0007325994632994236,0.022602007328304762,0.8869160392502363
other,2021-05,1616,18858,7090944.0,0.0010854690151268999,0.003027382531860356,0.8768362858316184
other,2021-06,1434,15864,3700734.0,0.005525930801835528,0.0054227080357572306,0.7957797020807224
other,2021-07,1511,15880,3352968.0,0.024395103084789357,0.006297405761104788,0.8051418921981958
other,2021-08,1461,14600,1981520.0,0.004888166659937825,0.012147745165327628,0.7979803383261335
other,2021-09,1406,14611,2177012.0,0.002949914837400988,0.012310910550791636,0.8191934633341479
other,2021-10,1428,14322,2094121.0,0.004205105626656721,0.009707652996173573,0.7799854927198572
other,2021-11,1496,14268,1821276.0,0.007442035144590935,0.009814547602889403,0.7766928241518584
other,2021-12,1376,13548,1972526.0,0.027421184815814847,0.006884573384584031,0.8020279580598684
other,2022-01,1457,13142,1689045.0,0.013762806793187867,0.008141878990790654,0.7670488352885803
other,2022-02,1421,11837,1763620.0,0.015586123994964902,0.007850897585647701,0.776012406300677
other,2022-03,1455,12330,1622738.0,0.0117893338296139,0.009496912009209126,0.7937313355575577
other,2022-04,1337,11536,1494277.0,0.005897835541870751,0.00982147219022979,0.8099241305326924
other,2022-05,1230,10660,2085305.0,0.0033692913027111144,0.0047273660207979165,0.5296606491616335
other,2022-06,1054,5635,783714.0,0.005731682731200413,0.004978857083068568,0.6207404742035998
other,2022-07,1407,12232,1579052.0,0.014672727687245259,0.00602260090231354,0.7486833872475384
other,2022-08,1509,16050,1752459.0,0.005087137559280987,0.006312273211527345,0.7186439169190264
other,2022-09,1446,15208,2180858.0,0.0088006646925201,0.006479101344516699,0.6434215340934623
other,2022-10,1111,3833,661513.0,0.010126785112310717,0.00590162249267966,0.7491099948149167
other,2022-12,1256,6934,1505681.0,0.0023298427754617347,0.020888222671336092,0.7362462566772112
other,2023-01,1320,9753,2020091.0,0.002819674955237165,0.017148732408589513,0.7484935084607575
other,2023-02,1347,7986,1371110.0,0.0043833098730225875,0.02303899760048428,0.6289145291041565
other,2023-03,898,1895,439550.0,0.10462745990217268,0.006752360368558754,0.4959458537140257
