group,month,agent_months,active_days,hits,block_rate,robots_rate,success_rate
bot,2021-02,19889,264904,3251099.0,0.0017990839405382611,0.014121993824242202,0.7568732911547756
bot,2021-03,21941,248012,4164711.0,0.0010353659593666884,0.007480230921185167,0.8602673750951747
bot,2021-04,15072,73459,10635758.0,0.0004687019016416131,0.0009106074056968954,0.9090588559837484
bot,2021-05,15369,91499,6442366.0,0.0013200119335039333,0.002645767098609424,0.9153256738285283
bot,2021-06,13307,64277,3103959.0,0.003717510443920168,0.004448512367592484,0.9001549311701604
bot,2021-07,14731,62275,2633879.0,0.003302353676839369,0.004792930882550034,0.9116633679831154
bot,2021-08,14281,53956,1829926.0,0.004056448184243516,0.00812983694422616,0.8827318700319029
bot,2021-09,15862,65636,1699202.0,0.003978338066927887,0.009646881300751765,0.8720575893860765
bot,2021-10,13426,71573,1672986.0,0.005146486581477669,0.009158474727224256,0.8647603745638038
bot,2021-11,12373,83157,1639187.0,0.004201473047309429,0.009102683220401333,0.79990202460122
bot,2021-12,12271,79887,1336253.0,0.006744231818375712,0.01009689033439027,0.8547692689932221
bot,2022-01,11811,70686,1296657.0,0.007886434114804455,0.014113215754050609,0.8296210948616326
bot,2022-02,10827,65975,1193889.0,0.009484968870640403,0.01104457784601416,0.8042757743810354
bot,2022-03,12051,64811,1189281.0,0.0067830899509871935,0.013457711003539112,0.8153892982398608
bot,2022-04,17443,99725,1177080.0,0.011395996873619465,0.012831753151867333,0.7940590274237945
bot,2022-05,16859,82082,1015462.0,0.007865385410778542,0.00936224102920641,0.775008813722227
bot,2022-06,10385,39021,461052.0,0.014863833146803397,0.009090080945316364,0.7892190034963518
bot,2022-07,12621,77257,1241659.0,0.009163546513173101,0.007767027823259043,0.768926895387542
bot,2022-08,12825,74433,1400042.0,0.012227490318147599,0.007612628763994223,0.7479904174303342
bot,2022-09,12591,52768,1135857.0,0.008729972170792626,0.01256144039258463,0.7005829078836509
bot,2022-10,4280,12528,295733.0,0.020004531114214512,0.01183499981402143,0.7226586143582218
bot,2022-12,7736,34477,736597.0,0.0057127574508177474,0.013045125081964764,0.7304930647287459
bot,2023-01,9476,54076,888004.0,0.006189161310084189,0.011987558614600834,0.7279978468565457
bot,2023-02,9501,46339,795318.0,0.013075273035439912,0.014551412139546697,0.7336524509692978
bot,2023-03,4199,8798,167458.0,0.006073164614410777,0.02030359851425432,0.7441686870737737
control,2019-03,1328,18399,870941.0,0.014747267610549968,0.007186479910809113,0.783831510974911
control,2019-04,1807,24071,1622821.0,0.012727220069249782,0.007409936154387946,0.7770062132545733
control,2019-05,2808,35796,3738465.0,0.005975982121004209,0.004279563938675366,0.8028233512952508
control,2019-06,2495,37525,3253038.0,0.012210739622469827,0.0036433635266480136,0.7759362171606972
control,2019-07,2455,30203,3035395.0,0.018141625719222704,0.004025835187842109,0.7579402351259061
control,2019-08,2718,27176,2294621.0,0.0068355514919457286,0.004999082637176249,0.7955819283445937
control,2019-09,2879,35966,2968109.0,0.006824547211709543,0.004682105677385837,0.7659287445306086
control,2019-10,2928,48571,4494688.0,0.00649900504773635,0.004301967122078329,0.8035096095657808
control,2019-11,2694,45216,3907220.0,0.007406288870347715,0.005272034848306469,0.8322293088180343
control,2019-12,2496,35920,2686179.0,0.008362436010407348,0.005375665582971202,0.8056142200501158
control,2020-01,2858,49865,3463878.0,0.01020763433354177,0.005010857772704466,0.7959010103704576
control,2020-02,3183,52644,4443831.0,0.00843506424974307,0.004827591328293088,0.7930771894790779
control,2020-03,3474,57615,4387766.0,0.00802504053315514,0.005887278400899227,0.7795067011321934
control,2020-04,3616,59778,4301313.0,0.005190043133340912,0.004042719048811374,0.7936967153982981
control,2020-05,3802,64096,4636055.0,0.006263946394078586,0.008431953460431336,0.7739683847581619
control,2020-06,3803,65044,4438287.0,0.004417019449170367,0.004684464974887834,0.767346050401878
control,2020-07,3780,67613,4628807.0,0.005482190119397936,0.005279114035214689,0.7437678866282392
control,2020-08,3918,63934,4188616.0,0.0070775167740370565,0.006473498644898458,0.7390772990410197
control,2020-09,3811,69277,5041432.0,0.008270269240961695,0.008134593504385262,0.6916457466846722
control,2020-10,3397,30886,2242280.0,0.005859660702499242,0.008407959755249121,0.6596388497422266
control,2021-01,4073,63282,13067282.0,0.0026584717464580624,0.002604902840544805,0.8752723022278084
control,2021-02,4396,95660,19115437.0,0.0018956929940968652,0.0024601059342770977,0.8744417404634799
control,2021-03,5441,90501,21425285.0,0.0015429433027378632,0.0022898645222222246,0.8974646078220196
control,2021-04,6713,50597,27640695.0,0.0009988533211628724,0.0013931632326900608,0.9063718549768738
control,2021-05,5083,69134,22302215.0,0.0016505535436726801,0.0011983563067614585,0.8853067733406749
control,2021-06,4290,56920,11036971.0,0.004614671905906068,0.0021679861259035656,0.8194167584566454
control,2021-07,4442,56013,8343896.0,0.015502230612653848,0.0027322967592117637,0.8055232232041243
control,2021-08,4216,52157,6356234.0,0.00512662057438414,0.003488071710387,0.8045682396211341
control,2021-09,4153,52027,6517312.0,0.003511723851796569,0.00386524383058537,0.7883372776997634
control,2021-10,4148,54973,5977261.0,0.0048692871199701665,0.003085025064155639,0.7984150265481129
control,2021-11,4191,53246,5677246.0,0.006610423434179178,0.0029412148073203097,0.7801943054783956
control,2021-12,4062,50046,5207424.0,0.016977492134306712,0.003694917102966841,0.7777943566723201
control,2022-01,4049,48623,5809396.0,0.009193726852154681,0.00239456907396225,0.7951578787192335
control,2022-02,3980,43288,6220566.0,0.009117980582474329,0.0016594952935150918,0.8083346435035011
control,2022-03,3955,44938,4691058.0,0.009510434533105325,0.0025120132814388566,0.7869582938433078
control,2022-04,3864,44214,4544421.0,0.007984515519138742,0.0025679839081810423,0.778661352018222
control,2022-05,3665,41004,5272394.0,0.02029305852331977,0.0015651334099841552,0.6662108332571504
control,2022-06,3198,21815,2721581.0,0.010877133548477889,0.0016383859234760973,0.7416813976875941
control,2022-07,3816,44248,6435354.0,0.009735439573331941,0.001441101763787975,0.7691143331042861
control,2022-08,3914,48556,4234182.0,0.007670430793952646,0.001652739537412421,0.7169509954933444
control,2022-09,3784,42903,4497438.0,0.007624785488982839,0.0017034142549602685,0.7024801675976411
control,2022-10,2709,11123,1499307.0,0.013520913328624491,0.0014460013859736531,0.7708661401567524
control,2022-12,3150,24340,3141848.0,0.01995990894530862,0.00949313906974494,0.690835775632685
control,2023-01,3528,36400,5561753.0,0.025039587338740142,0.005276573770895615,0.6817963688786611
control,2023-02,3543,28917,4508455.0,0.029585745005772487,0.00596767628821847,0.5907065724289141
control,2023-03,2477,6401,1587039.0,0.048923813466461755,0.0011543509642800208,0.46780513900414544
