agent_id,label,n_active,evasion_index__trend_dir,evasion_index__tau,evasion_index__cp_sig,evasion_index__cp_frac,evasion_index__cp_effect,ip_ent__trend_dir,ip_ent__tau,ip_ent__cp_sig,ip_ent__cp_frac,ip_ent__cp_effect,dom_ent__trend_dir,dom_ent__tau,dom_ent__cp_sig,dom_ent__cp_frac,dom_ent__cp_effect,ctry_ent__trend_dir,ctry_ent__tau,ctry_ent__cp_sig,ctry_ent__cp_frac,ctry_ent__cp_effect,url_ent__trend_dir,url_ent__tau,url_ent__cp_sig,url_ent__cp_frac,url_ent__cp_effect,resistance__trend_dir,resistance__tau,resistance__cp_sig,resistance__cp_frac,resistance__cp_effect,compliance__trend_dir,compliance__tau,compliance__cp_sig,compliance__cp_frac,compliance__cp_effect,p404__trend_dir,p404__tau,p404__cp_sig,p404__cp_frac,p404__cp_effect,img__trend_dir,img__tau,img__cp_sig,img__cp_frac,img__cp_effect,html__trend_dir,html__tau,html__cp_sig,html__cp_frac,html__cp_effect,js__trend_dir,js__tau,js__cp_sig,js__cp_frac,js__cp_effect,php__trend_dir,php__tau,php__cp_sig,php__cp_frac,php__cp_effect,folder__trend_dir,folder__tau,folder__cp_sig,folder__cp_frac,folder__cp_effect
2001006780,chrome,87,1,0.1947902865396954,1,0.25287356321839083,0.15238139703263404,0,0.11154872095922903,0,0.6091954022988506,0.16187894296337407,1,0.16525755915507384,1,0.25287356321839083,0.13726658839160838,1,0.3415039610803137,1,0.25287356321839083,0.1478638871468531,1,0.32614598186620225,1,0.26436781609195403,0.18304843478260868,-1,-0.18556530154792128,0,0.41379310344827586,0.010797433006535948,0,0.0,0,,,-1,-0.24188763064540483,1,0.27586206896551724,0.04049737384722221,0,0.0,0,,,-1,-0.303129589720021,1,0.367816091954023,0.0027678935795454537,0,0.0,0,,,-1,-0.3523936903971812,1,0.28735632183908044,0.044622937800000005,0,0.0,0,,
2004392392,chrome,253,1,0.18229791551002997,1,0.22529644268774704,0.1433171536374269,1,0.14062141122510421,1,0.22529644268774704,0.13192073327783752,1,0.19937191832502832,1,0.22529644268774704,0.14676073640082354,1,0.23395132963343435,1,0.30039525691699603,0.12864418140529285,1,0.27168789235397534,1,0.5928853754940712,0.24263767513915857,-1,-0.10094023367371562,0,0.2964426877470356,0.06490167220973783,-1,-0.11912114339135749,0,0.039525691699604744,2.8295902880658436e-06,-1,-0.2515016578582923,1,0.22134387351778656,0.008876852248912256,0,0.0,0,,,-1,-0.22397409977353705,1,0.2648221343873518,0.009074754159845932,0,0.0,0,,,-1,-0.2747919114517152,1,0.5968379446640316,0.31732553142319175,0,0.0,0,,
2004401332,chrome,452,1,0.10264242309621238,1,0.5110619469026548,0.09460507248913831,0,0.03806542455442378,0,0.3030973451327434,0.06869331020113545,0,0.05847447907997103,0,0.3030973451327434,0.07334558554095702,1,0.28711021659468666,1,0.5132743362831859,0.10055909938518809,1,0.29200605764680476,1,0.38716814159292035,0.0788132124806602,-1,-0.21723555421687255,1,0.415929203539823,0.006882272114764665,0,0.0,0,,,-1,-0.2314765406218116,1,0.5486725663716814,0.005693723445604058,0,0.0,0,,,-1,-0.12401330757700142,1,0.5376106194690266,0.01243125096449879,0,0.0,0,,,-1,-0.13220550237298956,1,0.3075221238938053,0.014797528109522604,0,0.0,0,,
2004416469,chrome,106,1,0.26084799775766615,1,0.2641509433962264,0.14233657754822954,1,0.21181183479793683,1,0.2641509433962264,0.13945412435897434,1,0.22080041049335003,1,0.2641509433962264,0.13966824695054944,1,0.36861587445654975,1,0.2641509433962264,0.1478873613351648,1,0.17960830092145835,1,0.18867924528301888,0.1371596930232558,-1,-0.1612510842117192,0,0.6037735849056604,0.013438020014880953,0,0.0,0,,,-1,-0.36073050022295605,1,0.5943396226415094,0.01604971623108158,0,0.0,0,,,-1,-0.151367390740966,0,0.4056603773584906,0.004092312000738278,0,0.0,0,,,0,-0.02866614992984517,0,0.8962264150943396,0.02788104172248803,0,0.0,0,,
2004505358,chrome,93,1,0.3094572340574633,1,0.26881720430107525,0.11217969628117647,1,0.15860411777112032,0,0.5376344086021505,0.02984275683395346,1,0.2701824229781904,1,0.26881720430107525,0.11391626927941173,1,0.47483088827053593,1,0.26881720430107525,0.11238602957588235,1,0.3440285022782388,1,0.21505376344086022,0.3415018999999999,0,-0.09147519125896854,1,0.21505376344086022,0.012458752739726034,0,0.0,0,,,-1,-0.22318663916070394,1,0.21505376344086022,0.004567347616438358,0,0.0,0,,,-1,-0.26827156806211083,1,0.25806451612903225,0.00432241694021739,0,0.0,0,,,-1,-0.28332197559561223,1,0.34408602150537637,0.0025003481147541015,0,0.0,0,,
2004512538,chrome,141,0,0.10535260807001422,1,0.1347517730496454,0.3600476814265171,0,0.1030393063198259,1,0.1347517730496454,0.35891130086281287,0,0.1057538889686476,1,0.1347517730496454,0.3655282097670406,0,0.11193057515194481,1,0.1347517730496454,0.355703533649698,-1,-0.21626142835875617,1,0.3262411347517731,0.3782588977116703,-1,-0.2026109920902027,1,0.3120567375886525,0.06994409114339269,-1,-0.1956878685717924,0,0.07092198581560284,4.320904427480916e-05,-1,-0.29612896686822904,1,0.2978723404255319,0.08157479457431457,0,0.0,0,,,-1,-0.2977880853703964,0,0.11347517730496454,0.004623053449999999,0,0.0,0,,,1,0.2969345498365941,1,0.3262411347517731,0.5790802999999999,0,0.0,0,,
2004646137,chrome,473,1,0.1654879304295877,1,0.5137420718816068,0.13022739670758038,1,0.08833508601003863,1,0.8710359408033826,0.3543408368561993,1,0.15036342941616196,1,0.39957716701902746,0.12365323885684479,1,0.3629005088292375,1,0.4820295983086681,0.1413517780625671,1,0.22783080005861572,1,0.4820295983086681,0.05616910599713565,-1,-0.2734538855268719,1,0.40380549682875266,0.011839361276967067,0,0.0,0,,,-1,-0.28737906425227977,1,0.4355179704016913,0.0028658221445583797,0,0.0,0,,,-1,-0.19895832019956045,1,0.6215644820295984,0.006363750354064531,0,0.0,0,,,-1,-0.2678335224391965,1,0.5116279069767442,0.011223900159386065,0,0.0,0,,
2004708554,chrome,152,1,0.30310081144098217,1,0.375,0.14611973242105264,1,0.23367415670751873,1,0.4934210526315789,0.16517100143549787,1,0.2629050505190508,1,0.2894736842105263,0.15138178737205393,1,0.4694345040012166,1,0.375,0.1394680292350877,1,0.23273790063639055,1,0.3157894736842105,0.11166733333333334,-1,-0.19816158721872634,1,0.7368421052631579,0.03435353392857142,0,-0.0630513440770087,0,0.2236842105263158,6.889898305084745e-05,-1,-0.24815961488867017,1,0.5921052631578947,0.02523090021146953,0,0.0,0,,,-1,-0.341254255848882,1,0.34210526315789475,0.010166906242307691,0,0.0,0,,,-1,-0.1977717022541819,1,0.3881578947368421,0.02183336260251504,0,0.0,0,,
2004745213,chrome,148,1,0.1194457882227519,1,0.4594594594594595,0.06811921003137257,0,0.019628681300432247,0,0.4594594594594595,0.06395100526985292,0,0.09178058041214288,0,0.4594594594594595,0.07093489418897059,1,0.3195071214892966,1,0.28378378378378377,0.07548419943261454,1,0.29021451024350475,1,0.4594594594594595,0.10766385367647058,-1,-0.20950866138913019,1,0.5675675675675675,0.05804619270833331,0,0.0,0,,,-1,-0.2232228842005107,1,0.3783783783783784,0.03087513682453417,0,0.0,0,,,-1,-0.2105290380414465,1,0.1554054054054054,0.0010248851547826092,0,0.0,0,,,-1,-0.19368223444438237,1,0.5743243243243243,0.02788702784500466,0,0.0,0,,
2004806456,chrome,62,1,0.23976947022993617,1,0.3225806451612903,0.18761608675873015,0,0.1600235266944807,0,0.6129032258064516,0.11469878307017543,1,0.17229728836170455,0,0.6129032258064516,0.11581346807017544,1,0.4258433384793323,1,0.3225806451612903,0.1944902261095238,1,0.31608741782877386,1,0.3709677419354839,0.1567002474916389,-1,-0.22516403137680127,1,0.3548387096774194,0.08354963295454547,0,0.0,0,,,-1,-0.23813313779190676,1,0.3225806451612903,0.054929920876190474,0,0.0,0,,,-1,-0.41392984483644657,1,0.3225806451612903,0.0025410176238095245,0,0.0,0,,,-1,-0.24236926447857418,1,0.3064516129032258,0.0036657488494492036,0,0.0,0,,
