a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
388083150,abusive_share,bot,143,171,0.006993006993006993,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.21972245773362198,0.2,0.0
388379960,abusive_share,bot,10,12,0.0,0.0,0,0,0,,,,,,,,
388535762,abusive_share,bot,29,36,0.034482758620689655,0.0,0,1,0,0.0,0.0,0.0,,,,,0.0
388788767,abusive_share,bot,8,13,0.0,0.0,0,0,0,,,,,,,,
388873071,abusive_share,bot,129,450,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
388998056,abusive_share,bot,35,50,0.07619047619047618,0.0,0,3,0,0.0,-1.0,1.0,0.0,0.0,-0.2432790648648987,0.10000000000000003,0.0
394063261,abusive_share,bot,7,16,0.14285714285714285,0.0,0,1,0,,,,,,,,
394207066,abusive_share,bot,164,491,0.005182926829268293,0.0,0,3,0,0.0,-1.0,2.0,0.0,0.0,0.0,0.025,0.0
394239784,abusive_share,bot,28,37,0.03571428571428571,0.0,0,1,0,0.0,0.0,0.0,,,,,
394239785,abusive_share,bot,172,236,0.022286821705426355,0.0,0,7,0,0.0,-1.0,3.0,0.0,0.0,0.1962410848276652,0.03333333333333333,0.0
394256789,abusive_share,bot,124,473,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
394257166,abusive_share,bot,147,556,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
396216388,abusive_share,bot,29,49,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
396762509,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
397614997,abusive_share,bot,7,17,0.0,0.0,0,0,0,,,,,,,,
398506290,abusive_share,bot,837,80645,0.004958575838451516,2.8266484632628728e-06,1,151,0,-1.0,1.0,17.0,3.922169865267904e-06,0.05746786598827721,0.3025902547527919,-0.007761759575344059,7.886349212503413e-05
399551160,abusive_share,bot,145,297,0.013793103448275862,0.0,0,2,0,0.0,-1.0,0.0,,,,,0.0
399551164,abusive_share,bot,27,34,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
399675976,abusive_share,bot,173,331,0.005973025048169556,0.0,0,4,0,0.0,-1.0,2.0,0.0,0.0,0.16094379124341002,0.02,0.0
399681243,abusive_share,bot,136,498,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
399825871,abusive_share,bot,4,6,0.0,0.0,0,0,0,,,,,,,,
403120128,abusive_share,bot,7,8,0.0,0.0,0,0,0,,,,,,,,
403940411,abusive_share,bot,9,14,0.1111111111111111,0.0,0,1,0,,,,,,,,
404095923,abusive_share,bot,11,15,0.0,0.0,0,0,0,,,,,,,,
405064112,abusive_share,bot,37,2020,0.00032562683165092806,0.0006756756756756757,1,1,0,0.0,0.0,1.0,0.0,0.0,2.813394186987109,0.0,-0.001
405148677,abusive_share,bot,168,312,0.005952380952380952,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,-0.04054651081081645,0.0,0.0
405173034,abusive_share,bot,124,443,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
407636919,abusive_share,bot,40,55,0.075,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,-0.0810930216216329,-0.5,0.0
407699585,abusive_share,bot,153,421,0.00980392156862745,0.0,0,2,0,0.0,-1.0,2.0,0.0,0.0,0.3506557897319981,-0.09166666666666667,0.0
408448534,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
410013819,abusive_share,bot,166,444,0.012048192771084338,0.0,0,3,0,0.0,-1.0,1.0,0.0,0.0,-0.13862943611198908,-0.06666666666666667,0.0
410479185,abusive_share,bot,165,471,0.00909090909090909,0.0,0,4,0,0.0,-1.0,2.0,0.0,0.0,0.24034912583024903,0.02857142857142857,0.0
410586498,abusive_share,bot,108,396,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
410587428,abusive_share,bot,141,523,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
410588369,abusive_share,bot,122,450,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
412480988,abusive_share,bot,35,49,0.05714285714285714,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.13862943611198897,-0.2,0.0
413380797,abusive_share,bot,30,47,0.1,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,-0.21972245773362198,-0.16666666666666663,0.0
413380799,abusive_share,bot,34,44,0.058823529411764705,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
413418437,abusive_share,bot,9,19,0.0,0.0,0,0,0,,,,,,,,
413914160,abusive_share,bot,2,3,0.0,0.0,0,0,0,,,,,,,,
415421671,abusive_share,bot,8,10,0.0,0.0,0,0,0,,,,,,,,
415551305,abusive_share,bot,143,285,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
416088587,abusive_share,bot,123,433,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
416194267,abusive_share,bot,9,23,0.0,0.0,0,0,0,,,,,,,,
416204120,abusive_share,bot,30,41,0.13333333333333333,0.0,0,4,0,0.0,0.0,1.0,0.0,0.0,-0.0810930216216329,0.0,0.0
416220601,abusive_share,bot,35,46,0.08571428571428572,0.0,0,3,0,0.0,-1.0,1.0,0.0,0.0,0.0810930216216329,-0.2,
417885828,abusive_share,bot,14,25,0.0,0.0,0,0,0,,,,,,,,
418706976,abusive_share,bot,270,271,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
418708804,abusive_share,bot,270,271,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
418833918,abusive_share,bot,134,491,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
418834917,abusive_share,bot,137,473,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
418930509,abusive_share,bot,2,2,0.0,0.0,0,0,0,,,,,,,,
