a_id,group,intensity,pre_O,post_O,dO,pre_logvol,dvol,kind
44870,control,0.08333333333333333,2.7205074364886146,2.01644164299734,-0.7040657934912744,1.1901285105175454,0.7719814008578265,stealth
44870,control,0.3333333333333333,2.1489425076050055,1.539532155964216,-0.6094103516407894,1.7942896927387664,1.0080099683656423,stealth
44870,control,0.2727272727272727,2.0822440549162122,2.1067983432245803,0.024554288308368033,2.5825772033707866,-0.7296114919187358,retreat
44870,control,0.5555555555555556,2.1067983432245803,2.394527884126261,0.2877295409016809,1.8529657114520508,-0.25985659682605244,stealth
44870,control,0.5,2.1625887467409246,1.9877576140549835,-0.17483113268594108,1.8339036754911855,0.22441692897065035,stealth
44870,control,0.3333333333333333,1.6883172675884714,2.7072414011996715,1.0189241336112,2.563785167369603,-1.1713364745163615,retreat
44870,control,0.1111111111111111,2.222333972440667,3.9914678756580435,1.7691339032173765,1.8955843545441922,-0.938086005987783,retreat
44870,control,0.2,3.0567915200733187,3.488732993559477,0.4319414734861584,1.504371850440326,-0.31424333992278064,stealth
44870,control,0.08333333333333333,2.718990147583487,2.573751121829325,-0.14523902575416203,1.2347572207803874,0.11755733298042359,stealth
44870,control,0.16666666666666666,2.6276187928158268,1.891001641670044,-0.7366171511457829,1.6902106777823385,0.3505077512149548,stealth
44870,control,0.2,2.403209047359374,2.1617078694467566,-0.2415011779126175,1.5217741258382518,0.3620217215792503,stealth
44870,control,0.6666666666666666,2.5766851756204545,3.064886866290106,0.48820169066965136,1.3733866568923765,-0.4605170185988092,stealth
44870,control,0.012658227848101266,3.4567727927524246,0.7210243219511868,-2.7357484708012376,1.0675076159402637,2.3671539088780116,stealth
44870,control,0.0625,1.0001064652892726,0.913069566288803,-0.08703689900046963,3.0206211004598686,0.43936741829376214,stealth
44870,control,0.5,1.265741648368775,1.0587624997531748,-0.20697914861560007,2.731060849284132,0.7351383836014942,stealth
44870,control,0.05,2.284607301717306,3.9129019481205476,1.6282946464032415,2.3784914382103777,-1.1201776102987135,retreat
44870,control,0.3333333333333333,4.938895149749188,2.9674958153007176,-1.9713993344484702,0.7742402021815782,0.8286269452783066,stealth
46016,control,0.0035971223021582736,1.0880022719237699,1.643384917863831,0.555382645940061,4.8697190005373105,0.6226539581931743,stealth
46016,control,0.03148148148148148,1.876314856831769,2.121696019139108,0.2453811623073392,5.729558545168724,0.25211070165258587,stealth
46016,control,0.010362694300518135,2.121696019139108,2.3456257831130447,0.2239297639739366,5.98166924682131,0.22860070808090072,stealth
46016,control,0.018556701030927835,2.3006950737113354,2.728386472127121,0.4276913984157855,6.164713168728068,0.4248122843650153,stealth
46016,control,0.03451492537313433,2.5694442010620464,2.627528630707779,0.058084429645732794,6.431124429347041,0.054346380547253936,stealth
46016,control,0.011968085106382979,2.7364690848970934,2.6968427797948387,-0.03962630510225473,6.5966106274394205,-0.03957598405606699,stealth
46016,control,0.03319502074688797,2.7046950146770095,2.5472609191187714,-0.15743409555823806,6.564889410466189,-0.15471304469607183,stealth
46016,control,0.06557377049180328,2.604216086698856,2.261458710354148,-0.34275737634470804,6.465150988601957,-0.3469219705401443,stealth
46016,control,0.05570291777188329,2.3350507093818327,1.8193802908997718,-0.5156704184820609,6.193233834583198,-0.5196917946541246,stealth
46016,control,0.06204379562043796,1.8839207908788265,2.094019310711183,0.2100985198323564,5.737166659519677,0.20860753867541248,stealth
46016,control,0.015151515151515152,1.9941247057463065,1.594784622252557,-0.3993400834937495,5.8389899304829616,-0.42168348040450887,stealth
46016,control,0.08396946564885496,1.2612639056237636,0.7913800787816723,-0.4698838268420913,5.059011589911615,-0.5161226581048286,stealth
46093,control,0.02666666666666667,0.8860034865895547,0.9235855811280638,0.037582094538509025,3.2591468519695788,-0.16020344377897944,stealth
46093,control,0.25,2.690688172878018,3.5298589395819535,0.8391707667039356,1.4755517816455745,-0.22788685663767305,stealth
46093,control,0.25,4.20236710750264,2.5532422958127174,-1.6491248116899229,1.1090354888959124,0.4476093143712949,stealth
47752,control,0.16,0.9609266867574158,0.8732011467061496,-0.0877255400512662,3.0903757155857874,0.9910231387983415,stealth
47752,control,0.2,0.8732011467061496,1.2786275880873599,0.4054264413812103,4.081398854384129,0.1785098105409606,stealth
