a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
142131,bot_hp,bot,40,54,0.0,0.025,1,0,0,0.0,0.0,0.0,,,,,
142166,bot_hp,bot,79,186,0.027848101265822787,0.0,0,3,0,0.0,1.0,1.0,0.0,0.0,0.3008154793552549,-0.3400000000000001,0.0
142180,bot_hp,bot,28,3381,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142183,bot_hp,bot,40,911,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142194,labeled_pothuman,control,514,46269,0.0014860367601560464,0.0,0,17,0,0.0,0.0,5.0,0.0,0.0,1.0224820550322549,-0.005674256607379048,0.0
142205,bot_hp,bot,96,7452,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142211,bot_hp,bot,82,98,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142227,bot_hp,bot,73,719,0.0,0.00684931506849315,1,0,0,0.0,0.0,0.0,,,,,
142234,bot_hp,bot,263,5893,0.006534390417198025,7.041261794113505e-05,1,14,0,0.0,1.0,2.0,0.0,0.0,0.36032040293158585,0.1,0.0006172839506172839
142295,bot_hp,bot,163,1100,0.08983951072391208,0.0015337423312883436,1,62,0,0.0,0.0,8.0,0.0,0.0,0.163605618426233,-0.04097465034965035,0.0
142296,bot_hp,bot,165,1071,0.09354359410738461,0.00101010101010101,1,59,0,0.0,0.0,11.0,0.0,0.32928671440499796,0.07254881370360432,0.027043062200956938,0.0
142331,bot_hp,bot,76,110,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142337,bot_hp,bot,320,1080,0.004166666666666667,0.0,0,2,0,0.0,0.0,2.0,0.0,0.0,0.04054651081081645,0.04999999999999999,0.0
142338,bot_hp,bot,313,3664,0.00966258863866594,0.0,0,4,0,0.0,0.0,3.0,0.0,0.0,-0.3568777491425394,0.1014508438421482,0.0
142352,ctrl_white,control,142,1635,0.12971404003739478,0.0,0,64,0,0.0,0.0,7.0,0.0,0.0,-0.17802489366016747,0.08363858363858363,0.0
142353,ctrl_hpneg,control,94,540,0.023961499493414386,0.0,0,5,0,0.0,0.0,4.0,0.0,0.0,-0.1151292546497022,-0.07500000000000001,0.0
142355,bot_hp,bot,791,3283,0.00067425200168563,0.0,0,2,3,0.0,0.0,5.0,0.0,0.0,-0.1500844120975266,0.035076923076923075,0.0
142364,bot_hp,bot,158,642,0.03612869198312236,0.0021576524741081706,1,10,0,0.0,1.0,7.0,0.0,0.0,0.06453509127938968,0.10999999999999999,0.0030303030303030303
142373,bot_hp,bot,477,4202,0.004267744833782569,0.0020964360587002098,1,5,1,0.0,0.0,4.0,0.0,0.0,-0.014766565684883937,0.06666666666666667,0.0
142374,bot_hp,bot,353,734,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142375,bot_hp,bot,13,14,0.0,0.0,0,0,0,,,,,,,,
142403,bot_hp,bot,94,108,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142404,bot_hp,bot,17,241,0.0,0.0029411764705882353,1,0,0,,,,,,,,
142407,bot_hp,bot,394,7483,0.007274641892220173,0.0,0,5,0,0.0,0.0,3.0,0.0,0.0,-0.13835429642592909,-0.046313587733289606,0.0
142410,bot_hp,bot,145,20180,0.0,2.0464545175483475e-05,1,0,0,0.0,0.0,0.0,,,,,
142411,labeled_pothuman,control,147,14907,0.005458248840168502,0.0008390452955375699,1,3,0,0.0,0.0,0.0,,,,,0.0
142412,bot_hp,bot,153,14964,0.006535947712418301,0.0,0,1,0,0.0,0.0,0.0,,,,,0.0
142414,bot_hp,bot,147,10895,0.0024851152906212913,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,-0.08048506978961267,0.046695095948827293,0.0
142435,bot_hp,bot,43,481,0.0764716739408942,0.0,0,12,0,0.0,1.0,0.0,,,,,0.0
142440,bot_hp,bot,62,95,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
142528,bot_hp,bot,100,1875,0.012916666666666665,0.4931690890428284,1,3,0,-1.0,0.0,3.0,-0.3261904761904762,0.8052393691987868,0.3092461918684488,0.0044008714596949884,-0.3852737987697337
142534,bot_hp,bot,87,100,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
