lifecycle_drift,adaptation_time,oscillation,osc_period,agent_id,label,n_active
2.5621804201406424,10.0,0.1098448424563256,89.0,694173729,bot,178
0.40493217597474074,1.0,0.02645096580617932,40.07692307692308,72060,bot,521
2.2608762827911795,21.0,0.5626695022011862,170.0,722647575,bot,170
1.7991615924225661,5.0,0.15122429853656497,151.0,723449195,bot,151
8.772851653113207,40.0,0.1831643628338011,592.0,729549462,bot,592
3.1599980254618933,100.0,0.24240841688155876,846.0,74066654,bot,846
1.7063916202698766,1.0,0.017102655302751926,151.4,748587452,bot,757
0.9583460961667525,1.0,0.1324259429468696,104.0,755029337,bot,104
4.898468371234317,8.0,0.0722511363557851,778.0,768650233,bot,778
0.8552070006399374,3.0,0.14628340391344116,31.0,772512801,bot,124
1.313290325981396,1.0,0.12027450666243619,9.25,78616,bot,74
0.05131483034567444,1.0,0.012857337713317672,313.0,79625873,bot,313
0.4383577852472715,6.0,0.10983801695037809,313.0,79628738,bot,313
2.5095281676658594,49.0,0.25920054652308006,758.0,80990367,bot,758
3.235658395455892,28.0,0.3795205702465976,397.0,81142,bot,397
1.5787224864297416,9.0,0.15524875873187766,377.5,81808,bot,755
1.6884361216959756,1.0,0.11162174716770427,2.0,82319,bot,184
1.7543844870674823,13.0,0.544834231713505,166.0,838550829,bot,166
0.935682782233256,7.0,0.07773049555840666,184.0,838748395,bot,552
6.001106119657475,4.0,0.08022697270583902,108.0,85384,bot,324
1.2229807134676607,6.0,0.1223328279229831,147.0,862458490,bot,147
5.081649712796409,53.0,0.09601193175561425,318.0,863669586,bot,636
3.58014505998684,10.0,0.33052410193180226,144.0,866355519,bot,144
1.5453677487420607,1.0,0.034672064024310986,136.0,910841767,bot,136
0.08580662713802391,1.0,0.01255805973028887,10.265625,945572602,bot,657
5.594138778427958,13.0,0.23766296654265331,42.5,95458,bot,85
3.741890476636751,1.0,0.0601814769214124,61.0,95648,bot,244
3.846869921373651,81.0,0.2160423744785565,713.0,958850719,bot,713
4.059538455241933,77.0,0.255551068960324,700.0,958851173,bot,700
1.9680812577524758,3.0,0.08343994814797107,526.0,96053,bot,526
2.447437656311519,14.0,0.3764667804804465,124.0,967936044,bot,124
0.6968537976403008,2.0,0.04097558312382951,60.60000000000001,985022102,bot,303
0.499976860698062,1.0,0.10113714276443217,7.222222222222221,1032111909,human,65
0.7604089459678638,5.0,0.14706089249779344,200.0,1072855280,human,200
4.531954443306946,43.0,0.10481623201819404,276.0,120176,human,276
3.9553313705653275,14.0,0.36132840279322304,136.0,1202921625,human,136
0.5581828521924509,1.0,0.04119998707696907,55.0,1206109632,human,165
2.21189676263496,1.0,0.0832745758426989,69.00000000000001,1216168929,human,207
0.834302835153784,1.0,0.11820337314062501,666.0,1234087176,human,666
4.508064560424708,100.0,0.22343727678003486,820.0,124956,human,820
1.3722581181119478,3.0,0.12778590370415774,674.0,1288480506,human,674
1.3518997063480296,1.0,0.07356206502857175,668.0,1292733028,human,668
1.1140634442874733,1.0,0.07629876162507261,119.25,1306399505,human,477
0.8790406473970326,2.0,0.15682783894561117,186.33333333333331,132101,human,559
0.5724979601277174,1.0,0.04232457390676457,104.0,134587,human,520
3.5511474998399786,24.0,0.17192678094411062,69.5,136473,human,139
1.382873163051712,4.0,0.07017719958583284,327.5,1392108685,human,655
1.4210561234143084,2.0,0.09562238252310352,652.0,1392108840,human,652
2.183130470619072,1.0,0.09177979761706027,264.5,1392108946,human,529
2.4231381553446973,1.0,0.07493977690232889,65.66666666666667,1392110550,human,197
0.9457634298000223,4.0,0.1120408521061106,655.0,1392111250,human,655
1.065138997828931,1.0,0.08605422492563172,621.0,1392115226,human,621
0.9699565059060877,9.0,0.1321186095817931,655.0,1392116822,human,655
2.302679586798392,1.0,0.02597143895399335,2.710144927536232,1392121344,human,374
1.8749727712124518,1.0,0.027503961277970806,5.441441441441442,1392123240,human,604
1.8473948351448877,1.0,0.07090531975716674,419.99999999999994,1392127002,human,420
3.200320326515222,1.0,0.06622552614450276,606.0,1392138525,human,606
2.4737488906075895,1.0,0.0373315497692077,48.2,1392141981,human,482
2.2330645044198256,2.0,0.0686570057600549,262.0,1392169660,human,524
0.08853517218707006,1.0,0.0767327205114631,115.5,1393227853,human,231
1.1072563185043591,7.0,0.1525758503494226,655.0,1394365269,human,655
2.0343688186383955,1.0,0.07095987202541854,278.5,1394373887,human,557
2.7695047898405383,1.0,0.11502393731311815,139.0,1395980024,human,139
1.1619892739470314,21.0,0.16608969915682315,654.0,1396292015,human,654
1.5572643306282103,1.0,0.07200394746140608,97.5,1397145929,human,390
4.240054565641116,15.0,0.456736854992668,114.0,1397403191,human,114
1.259545016116301,1.0,0.09938462494436114,76.5,1402214430,human,153
4.191566972447698,14.0,0.44556086221823293,102.0,1405621062,human,102
1.1429960620448416,1.0,0.10693558564277456,129.5,1411192451,human,259
1.985591663887661,1.0,0.09337233287672159,595.0,1417253430,human,595
1.966420717066085,9.0,0.212204420172396,121.0,1418982164,human,121
1.969244620289588,1.0,0.01826322861073748,2.132142857142857,1419043042,human,597
2.15490619298344,5.0,0.1125067341235069,1124.0,142288,human,1124
3.0594153464305798,2.0,0.02071681660281079,1014.0,142755,human,1014
2.0959463773954248,2.0,0.17086628462888429,68.5,144036,human,137
1.7144174896088664,1.0,0.0296327937864566,165.66666666666666,1451434617,human,497
4.162923278483864,47.0,0.22151444927364294,506.00000000000006,147571,human,506
0.6829467862368935,9.0,0.07877523746398309,615.0,1521144100,human,615
2.4644553980602417,7.0,0.10886679347229564,404.0,152570996,human,808
3.001018071646989,1.0,0.10954433782247411,67.0,1529507446,human,67
2.8214837610076913,1.0,0.035257180615562114,363.0,152950980,human,726
1.7820571097217413,4.0,0.22350259604155806,206.00000000000003,1537993702,human,206
2.7589483478702963,12.0,0.11871371648825255,449.0,157989255,human,449
0.5666833441331427,1.0,0.03317190495280105,41.0,1587928377,human,533
1.5220144673031484,4.0,0.12088823322454509,627.0,1592771804,human,627
0.7704479682043148,1.0,0.03790799475591356,524.0,1593365570,human,524
1.5948139973785618,1.0,0.09286860489409325,2.782608695652174,1607653276,human,64
4.91890758419955,25.0,0.3533413605420057,346.0,163607,human,346
3.6171495171462777,24.0,0.05154873478334132,18.833333333333332,1644150061,human,226
2.82062082135099,1.0,0.05646396042006899,167.0,164482463,human,167
2.0549012506787,1.0,0.05723752296838702,339.0,172015,human,678
1.548668764282512,1.0,0.031188261393777037,11.444444444444445,1722770762,human,309
3.8890167829360016,2.0,0.0841426538217217,100.5,172787,human,201
0.582758273562936,1.0,0.1396517634311426,11.0,172877,human,55
6.15316475430481,10.0,0.08094146611824804,528.0,1771000163,human,528
2.0067623881343395,34.0,0.4433544703969545,498.00000000000006,1771034425,human,498
4.317498530690617,100.0,0.2894659863366549,982.0000000000001,177700,human,982
3.1623732253396213,1.0,0.018811499680914723,5.27,1796419999,human,527
1.855111629531961,1.0,0.032337064421521476,4.5964912280701755,1854931390,human,262
4.277061959581247,19.0,0.13341444133725183,262.0,185590,human,262
2.088153696714764,1.0,0.041740478724847194,222.0,1868410263,human,444
1.1733585240479554,1.0,0.047934318530297115,6.039999999999999,1871183427,human,151
3.2858861566563524,1.0,0.05338881586676217,2.5757575757575757,1877990246,human,170
0.999332541123358,1.0,0.06588289497099079,2.1923076923076925,1878057542,human,57
0.5180402696713229,1.0,0.10468758094194357,3.294117647058824,1878058290,human,56
0.9785471663406703,2.0,0.08167044336792573,40.5,1880247611,human,81
0.8209317291577749,1.0,0.07171052425078417,24.2,1911483289,human,121
2.963644460664978,1.0,0.09983520935263235,13.5,1937099979,human,54
1.7290767729475698,1.0,0.058318854643561326,178.66666666666669,2004412586,human,536
