a_id,group,n_days,n_block_days,p404_post_lag,p404_post_ccf,p404_pre_lag,p404_pre_ccf,p404_responder,vol_post_lag,vol_post_ccf,vol_pre_lag,vol_pre_ccf,vol_responder
1392525900,control,661,28,8.0,0.02547719301486184,-2.0,-0.02123304544132961,True,10,-0.10036047495024678,-12,0.05883473495123895,True
1392526505,bot,83,3,2.0,0.4595921374588436,-7.0,0.4579423787325194,True,8,-0.23494246993855664,-7,-0.12585411747850017,True
1392527197,bot,231,3,2.0,0.12027881656963996,-6.0,-0.02541238664677876,True,14,-0.05247741252946382,-14,-0.05446145702074634,False
1392535114,bot,303,11,12.0,0.3697977085913743,-1.0,0.334033876274688,True,4,-0.09650877745092344,-3,-0.08682500250246548,True
1392544679,control,489,6,12.0,0.10415954351620323,-3.0,0.0983383278771567,True,14,0.22011799247726335,-1,0.21857975704815857,True
1392550608,bot,632,15,12.0,0.0523594667465298,-6.0,0.08955271473451906,False,2,-0.07147932143828041,-6,-0.06471513837144742,True
1392712503,control,487,8,9.0,0.04370448912343964,-1.0,0.02413934758553581,True,2,0.12328208565414141,-12,0.1265819465521319,False
1392866464,control,662,117,6.0,-0.05782144224632116,-6.0,-0.06482082810821892,False,1,-0.06266719321939954,-13,-0.07152078547276199,False
1392918716,control,580,22,11.0,0.07005539083067022,-2.0,0.12606011551601395,False,9,0.09957854154961235,-14,0.10854262856354904,False
1392929386,bot,605,14,3.0,0.0831559816107051,-8.0,0.06563196174052856,True,1,0.08031932944146501,-12,-0.06277923448134638,True
1392934272,bot,183,4,8.0,0.360338331498652,-6.0,0.21989891537756967,True,13,0.17655792563416103,-7,0.13894590782771615,True
1392939527,bot,642,13,3.0,0.11315398642537096,-7.0,0.083069955048714,True,14,-0.04710119014609507,-8,0.056184082972167156,False
1392949327,bot,610,14,14.0,0.10627391228615532,-13.0,0.1604881689318907,False,3,-0.07893830250455476,-10,0.12086372771415532,False
1392958972,bot,615,10,12.0,0.09189067876894973,-5.0,0.1384554609895602,False,7,0.14861610885077128,-1,0.09560921569192311,True
1392959475,bot,611,11,11.0,0.1520250015438226,-11.0,0.05902902035646054,True,14,-0.06981159164475521,-2,-0.09001806937432658,False
1392960707,bot,620,14,11.0,0.07991378636129338,-3.0,-0.04475256760061012,True,14,0.08330328432386948,-1,-0.0687837165952835,True
1393035276,control,166,4,10.0,-0.04085549967016909,-6.0,0.21503208966363485,False,12,0.19412155331568895,-4,0.30785254369878845,False
1393037923,bot,94,3,4.0,-0.03016822837368445,-8.0,0.24141340122930763,False,5,-0.15594625407489776,-5,-0.6605371636741335,False
1393066677,bot,658,15,2.0,0.08803248483872195,-4.0,0.12256525034097676,False,1,-0.0616701427920514,-5,-0.07469428538994524,False
1393130562,bot,194,6,14.0,-0.02181512974232809,-5.0,0.1808737784963525,False,2,0.14938337183636666,-10,0.3157855543313933,False
1393150345,control,298,3,10.0,-0.013828412160231202,-5.0,-0.013395054118441514,True,11,0.11532941830601706,-6,0.12865004276835834,False
1393160937,bot,602,17,8.0,0.07463748729675668,-4.0,-0.05052265703286144,True,9,-0.055763020124835416,-7,0.06989583300865758,False
1393190925,bot,284,14,13.0,0.19185747977393883,-11.0,0.28595223568597034,False,2,-0.1201642163033187,-14,0.11507942705487766,True
1393225042,bot,51,3,14.0,0.33183092137202685,-13.0,0.26298633187575576,True,3,-0.14883780726329646,-13,0.30466399150197665,False
1393226143,bot,51,3,11.0,0.2591900156786457,-2.0,0.6133902639166502,False,11,0.3260167904588682,-11,0.28336071078852304,True
1393226689,bot,52,3,9.0,0.4007231046054767,-2.0,0.2829574468465443,True,9,0.17924503836675904,-12,-0.2234979421786488,False
1393226845,bot,57,3,7.0,0.32459190559008105,-2.0,0.6961785988581872,False,6,-0.12097210253141946,-12,-0.22508253963834032,False
1393227329,bot,48,3,11.0,0.5937432313776775,-2.0,0.5278042995576001,True,11,0.2763596275418056,-14,0.3104697257942696,False
1393227348,bot,52,3,9.0,0.21278177440744447,-2.0,0.35874266488736983,False,1,-0.17973161416428154,-5,-0.2687736404149863,False
1393227527,bot,49,3,11.0,0.2790553047522107,-3.0,-0.047760600462831634,True,4,0.24382613057559352,-4,-0.19295931322750665,True
1393227549,bot,52,3,10.0,0.17742185753099188,-8.0,0.496949587223914,False,9,0.14349136894766007,-1,-0.23100333619715283,False
1393227602,bot,44,5,14.0,0.2301223456835329,-9.0,0.3491900269250792,False,7,0.2751959608324536,-10,-0.2917611540542558,False
1393227631,bot,49,4,8.0,0.29755728708670204,-5.0,0.49256808515926026,False,6,-0.15726610428866936,-9,0.3064236425391802,False
1393227764,bot,47,3,12.0,0.37617063039380483,-2.0,0.6032654747632822,False,2,-0.2092091678121519,-4,0.38627587329655017,False
1393228226,bot,46,4,14.0,0.355671618222494,-8.0,0.25769265218459064,True,14,0.3059931591846696,-11,-0.21141867329595807,True
