a_id,t_death,pre_vol,tail_vol
186168,2019-07-10,27.8,2.449275362318841
136803,2022-07-20,55.2,1.1666666666666667
1995669268,2021-04-16,174.2,59.130434782608695
447315,2021-10-25,18.0,2.0
91599,2020-02-06,110.8,43.33762886597938
1485655039,2021-10-15,132.2,47.0
2029925392,2022-07-04,286.6,40.875
48906,2022-03-05,24.0,1.1
521414760,2021-05-06,5.0,1.8181818181818181
826154734,2020-08-06,31.8,13.96987951807229
393357,2020-04-03,62.8,14.227272727272727
231625,2020-10-03,37.6,7.934210526315789
52406,2019-06-20,7.6,1.894736842105263
111768,2019-09-09,74.4,3.732739420935412
463362588,2020-04-20,42.6,1.209016393442623
993356237,2021-03-09,10.8,2.659090909090909
464308,2022-01-29,8.4,3.727272727272727
47455,2021-12-09,80.2,4.388888888888889
180762,2020-07-15,185.2,40.291666666666664
127849,2022-08-17,33.4,1.0
2015149826,2022-09-15,101.4,46.0
1878860034,2021-04-10,184.4,43.611111111111114
738313503,2020-06-23,249.0,27.46969696969697
2142876559,2021-05-03,4792.6,69.65384615384616
2004746119,2021-07-09,47.0,22.2
315552,2022-05-16,32.2,8.306666666666667
195828,2021-02-09,26.6,8.95924764890282
1711063507,2021-06-23,120.0,29.489795918367346
309614,2019-12-07,28.8,7.595238095238095
1625861749,2021-08-22,165.0,15.23076923076923
2144282013,2021-06-12,170.6,36.55555555555556
1394415656,2021-05-12,31.2,5.2952755905511815
799281374,2020-07-17,130.8,23.19090909090909
1393052443,2022-08-09,51.4,24.666666666666668
2139147724,2021-09-22,217.4,42.76
462476,2021-11-30,240.2,62.05
106153,2020-05-29,115.4,53.76923076923077
455540,2020-02-11,11.0,5.412140575079873
246055,2019-09-11,40.2,16.035398230088497
159942,2022-10-08,107.8,3.0
459210884,2021-02-23,5.0,1.2173913043478262
47921,2022-02-14,26.8,1.2162162162162162
1401519241,2021-03-13,5.4,2.138888888888889
530138,2020-01-08,305.8,12.167115902964959
106847,2021-08-31,5.8,1.037037037037037
46554,2019-05-07,95.4,4.039735099337748
397044,2022-09-24,68.2,2.5625
1601076482,2021-02-16,172.4,49.63358778625954
76011,2022-02-14,16.8,1.2307692307692308
1757083117,2021-04-17,462.8,108.1
1011585171,2020-08-13,51.0,7.483660130718954
1244233732,2021-02-09,7.6,1.0232558139534884
157746,2019-07-22,12.0,3.6666666666666665
269768,2019-09-03,7.2,1.4615384615384615
463222220,2020-04-25,32.2,1.0
1584922507,2021-05-07,77.6,7.748344370860927
2131253130,2021-11-02,357.0,53.75
104877,2023-01-13,407.8,32.0
958851173,2022-05-02,14.0,3.5319148936170213
742566248,2020-06-23,15.4,6.352941176470588
152253,2022-08-16,15.8,1.0
1538104911,2021-05-10,134.2,43.5
739739073,2021-08-05,177.8,54.43589743589744
144695,2022-09-21,41.8,20.0
137233,2021-06-08,7.6,3.746031746031746
1719968616,2021-08-06,72.0,20.46153846153846
498460,2020-01-08,271.2,27.334246575342465
2115949720,2021-04-29,3348.8,82.10679611650485
1397693122,2022-08-09,458.8,39.5
1401533182,2021-03-11,5.2,2.03125
44948,2021-11-07,204.8,101.41732283464567
103313,2021-09-30,225.2,12.142857142857142
1057020348,2020-08-30,27.0,13.295454545454545
1049515270,2021-11-30,129.6,44.57142857142857
1137267206,2020-09-12,184.2,55.125
1282974940,2021-06-17,8.4,2.414141414141414
298496,2022-05-20,36.2,10.308219178082192
2146615174,2021-05-29,150.8,59.166666666666664
1575086261,2021-02-10,77.8,27.80263157894737
463407405,2020-04-25,28.0,3.0
294778,2022-06-27,17.6,7.229629629629629
803947885,2020-07-12,29.2,14.173913043478262
1322869902,2021-09-18,31.6,2.131868131868132
278269,2019-09-07,110.6,15.25
329262,2022-02-25,22.0,1.7058823529411764
133734,2022-05-15,55.0,8.125
318122,2022-05-16,45.4,9.948148148148148
1920409215,2021-12-30,124.2,36.0
108813,2019-06-18,10.8,2.391304347826087
1072832869,2021-08-20,80.6,1.0
605781999,2021-04-18,43.6,7.5
91565,2022-10-01,5.0,1.9655172413793103
191249,2022-12-26,7.2,1.9259259259259258
1495218413,2022-05-07,91.2,31.0
606514792,2020-06-04,24.4,3.3125
139419,2023-01-28,188.4,2.5
89613,2021-05-12,7.4,1.1428571428571428
69853320,2021-10-14,73.0,34.08
1401531371,2021-02-25,7.8,2.0555555555555554
1963017110,2022-05-04,59.0,29.0
1394435446,2021-05-02,153.2,47.693548387096776
277636,2022-07-02,146.0,36.0
126857,2019-05-31,474.6,41.53393665158371
998358902,2020-08-17,31.2,10.310344827586206
1409995108,2021-02-20,6.2,2.3513513513513513
44014,2021-12-20,19.2,3.0
1895289511,2021-05-06,71.8,11.0
