a_id,n_events,n_retreat,n_stealth,verified,verified_stealth
79043,1,0,1,-0.9054748147097289,-0.9054748147097289
79129,1,0,1,0.0,0.0
79132,2,0,2,-1.1893592835014704,-1.1893592835014704
80281,17,1,16,-0.16443656228089615,-0.20869120976440855
80299,2,0,2,0.10115571955423586,0.10115571955423586
81515,2,1,1,0.5748856229212356,-0.961590250989548
82143,1,1,0,1.7439992861247258,
83070,1,0,1,-0.09115119277424188,-0.09115119277424188
83323,10,1,9,-0.024713841203821963,-0.04176805805156317
83651,37,5,32,0.08278677376518302,-0.02824271806900271
83654,46,7,39,0.03608288727175477,-0.05700837314035974
83905,1,0,1,-0.135624792646583,-0.135624792646583
84551,1,0,1,0.0,0.0
85221,1,0,1,-0.5699196497076948,-0.5699196497076948
85375,49,4,45,0.007499044963849242,-0.05796282568940476
86200,2,0,2,-0.5523672137472726,-0.5523672137472726
86976,6,1,5,-0.31924118791260797,-0.5082419111130196
87194,6,2,4,0.6707727219984495,0.04877769171576973
87582,21,3,18,-0.18891632636507422,-0.2882651824702075
87973,2,0,2,-0.38785976887775053,-0.38785976887775053
88624,1,0,1,-0.6597794540349469,-0.6597794540349469
89301,1,0,1,-0.42970677648262345,-0.42970677648262345
89399,1,0,1,1.0393414373928493,1.0393414373928493
89625,17,2,15,-0.11766903455093823,-0.14656965273883088
89731,1,0,1,-0.10238124761482403,-0.10238124761482403
90420,9,2,7,-0.06322394792059854,-0.005561447861048364
91607,1,0,1,0.25427462121450173,0.25427462121450173
93910,3,0,3,-0.921386183787625,-0.921386183787625
95540,2,0,2,-1.0121150876646823,-1.0121150876646823
95595,1,0,1,-0.3023428902687679,-0.3023428902687679
95620,10,2,8,0.032695007253150755,-0.284516920890296
96054,20,6,14,0.10191018117408664,-0.14523886077878329
97239,15,4,11,0.10587002460800263,-0.09215296909652251
97240,6,1,5,-0.09563316606061771,-0.0342027105904676
98009,1,0,1,1.7630677432901902,1.7630677432901902
98905,14,2,12,-0.09798405977733056,-0.22899172347685423
98928,19,3,16,-0.10391840254037843,-0.1558295847254021
98989,22,4,18,-0.04835007751152621,-0.26007209729404407
99033,11,0,11,-0.3640609365149592,-0.3640609365149592
99034,10,2,8,0.004996545314721812,-0.3593998905116241
99238,5,1,4,0.3240246048818055,0.08919302594610956
100156,2,0,2,-0.07053094059243059,-0.07053094059243059
100575,8,2,6,-0.07827250178872004,-0.16975250876894754
100576,17,6,11,0.07915978949375883,-0.19944045301917016
102398,16,3,13,-0.23649202408936676,-0.43918440138871656
105223,20,5,15,0.0908696473722854,-0.09883277571812607
105842,15,5,10,-0.017567891360217726,-0.08459506613368495
105843,7,2,5,0.10352910584964337,-0.31149485512116754
106069,20,4,16,0.07288284723095932,-0.1837579452439711
106095,13,2,11,-0.07649234534146991,-0.0024053716225117135
106861,2,1,1,-1.263538613751653,-3.0416788261430896
108196,1,0,1,-0.3350914922652741,-0.3350914922652741
108440,2,1,1,-0.2720616784953761,-2.015854923817519
108478,1,0,1,-1.5423122484070892,-1.5423122484070892
109493,2,0,2,-1.1065600808324483,-1.1065600808324483
110225,16,2,14,0.09442923840586187,-0.1025679876514586
111114,2,0,2,-0.6809246524420978,-0.6809246524420978
111768,2,1,1,-0.7774975503182393,-2.6515891208539566
111835,4,0,4,-0.29165428191579634,-0.29165428191579634
113205,1,0,1,-1.462463711244198,-1.462463711244198
113273,2,0,2,-1.4394832687994976,-1.4394832687994976
113300,20,5,15,0.11978242359994487,-0.07565414374933742
116281,17,2,15,0.2271142151621821,0.19824330598174747
116372,23,6,17,0.010591694202150935,-0.16658900367953886
116373,25,8,17,-0.019063225611381338,-0.2629662604327465
118503,23,6,17,-0.05262199782052188,-0.26648259740600766
120176,3,0,3,0.10594552661801233,0.10594552661801233
121759,1,1,0,-2.072029597513861,
123836,1,0,1,0.16879909182011632,0.16879909182011632
124213,21,5,16,-0.15453257686976843,-0.2500934079678374
124744,1,0,1,0.12716936321635441,0.12716936321635441
124956,5,0,5,-0.5526248454304958,-0.5526248454304958
125855,3,0,3,0.36613030189721457,0.36613030189721457
126531,2,0,2,-0.6706921935557449,-0.6706921935557449
127058,4,0,4,-0.9173320800918984,-0.9173320800918984
127201,1,0,1,0.0,0.0
127265,19,5,14,0.10397393819871718,-0.04553460999951201
127317,2,0,2,-0.1702756502851943,-0.1702756502851943
127352,5,1,4,-0.08239642673788641,-0.23859688145430746
127373,2,0,2,-0.6480454992479379,-0.6480454992479379
127376,2,0,2,-0.2510001936994475,-0.2510001936994475
127693,16,3,13,-0.09121453083430536,-0.5128536468926578
128042,1,0,1,0.08960361831682917,0.08960361831682917
130112,2,1,1,-1.420733886506119,-2.8446945415696048
130841,2,0,2,-0.9871664562396995,-0.9871664562396995
131296,1,0,1,-0.36545609654647926,-0.36545609654647926
131401,4,0,4,-0.186469298401704,-0.186469298401704
131406,1,0,1,-0.271249585293166,-0.271249585293166
131550,5,1,4,0.728769342874399,0.8641897126734478
131839,2,0,2,-1.2890335005556826,-1.2890335005556826
132050,18,2,16,-0.18263989721282303,-0.45020346544345924
132055,9,0,9,-0.28450989562796747,-0.28450989562796747
132082,1,0,1,-1.1618104495504933,-1.1618104495504933
132101,10,0,10,-0.16881631978965772,-0.16881631978965772
132522,2,0,2,-0.39969445785275837,-0.39969445785275837
132524,5,0,5,-0.20270736591315558,-0.20270736591315558
132568,3,0,3,-0.19950296863653647,-0.19950296863653647
132701,1,0,1,-1.0347265097132632,-1.0347265097132632
133537,1,0,1,0.09944719382369449,0.09944719382369449
133957,17,1,16,0.20596765783773538,0.16179230452326893
134587,2,0,2,-0.07530167693401368,-0.07530167693401368
134595,1,1,0,0.7444789663061289,
135063,2,0,2,0.27231080554986664,0.27231080554986664
135249,1,0,1,-0.7363748504157797,-0.7363748504157797
135834,13,0,13,0.14851803583263626,0.14851803583263626
136473,1,0,1,-0.6930224554470921,-0.6930224554470921
136756,1,1,0,0.6656688916170945,
136833,6,0,6,-0.4446009544061648,-0.4446009544061648
136835,5,0,5,0.14935051840960606,0.14935051840960606
137321,15,1,14,0.0002551536697087927,0.08868719721024428
137372,2,0,2,-1.0384778159563255,-1.0384778159563255
137806,1,1,0,2.0611423153732886,
138214,18,3,15,0.10415185382520233,0.2756150648288127
138752,3,0,3,-0.558591921408531,-0.558591921408531
138754,1,0,1,0.3047247569405318,0.3047247569405318
138770,19,2,17,-0.28607296864051474,-0.4272306482564966
138771,27,2,25,-0.026895623554149654,-0.06277683791109481
139269,1,0,1,-0.10812988274633728,-0.10812988274633728
139810,3,0,3,-0.42332083723085906,-0.42332083723085906
140393,15,1,14,-0.00488505818185927,-0.060198765666873134
140757,6,0,6,-0.31243189704843216,-0.31243189704843216
141160,1,0,1,0.16909996429394925,0.16909996429394925
141177,2,0,2,-1.4094817586584085,-1.4094817586584085
142755,3,0,3,0.12408427128173205,0.12408427128173205
143134,1,0,1,-1.5157925259116696,-1.5157925259116696
144036,2,1,1,0.5361253296092989,0.9094732913921755
145414,2,0,2,-0.2208786829074787,-0.2208786829074787
145469,1,0,1,-0.07949634597711963,-0.07949634597711963
145864,13,1,12,-0.11902605884948343,-0.2549089004038924
145865,8,1,7,-0.24349932860288717,-0.4317468146672755
146003,1,0,1,-0.8719996430623635,-0.8719996430623635
146037,7,1,6,-0.33883898345777697,-0.5942905156853108
146457,2,0,2,-1.0619943903122968,-1.0619943903122968
146667,1,1,0,1.4074913660133288,
146680,1,0,1,-1.4005968304154761,-1.4005968304154761
147084,1,0,1,-0.48267525665422983,-0.48267525665422983
147573,3,1,2,-0.05963404975722216,-0.610836523352486
147740,2,0,2,-1.3311724605579482,-1.3311724605579482
148181,1,0,1,0.1589926919542397,0.1589926919542397
149244,22,1,21,-0.537618150239102,-0.5839530026746877
150702,1,0,1,-1.0079394337865009,-1.0079394337865009
151158,4,0,4,0.009741003586945407,0.009741003586945407
151243,3,0,3,-0.24152483720070195,-0.24152483720070195
151249,1,0,1,-0.5621058895033948,-0.5621058895033948
151708,4,0,4,-0.09307383473456088,-0.09307383473456088
152137,2,0,2,-0.308739875220728,-0.308739875220728
152309,2,0,2,-0.06180723011731504,-0.06180723011731504
152418,2,0,2,0.2684416876370519,0.2684416876370519
152429,4,0,4,-0.9366280603462475,-0.9366280603462475
152576,1,0,1,-0.3047247569405318,-0.3047247569405318
152764,1,0,1,-0.07949634597712008,-0.07949634597712008
152805,1,0,1,0.0,0.0
153492,16,0,16,-0.40999857297881914,-0.40999857297881914
153640,15,1,14,-0.051080814962986755,-0.21922839008920145
154293,2,0,2,-0.17351889571483992,-0.17351889571483992
155783,2,0,2,1.700616009365793,1.700616009365793
156676,24,1,23,0.11618553061056351,0.09521478534286197
157625,18,1,17,-0.06238965956723473,-0.1920744499693455
158011,1,0,1,-0.07949634597712008,-0.07949634597712008
158554,19,2,17,-0.2901002489258729,-0.4577079639467475
160179,17,0,17,-0.17941558400623003,-0.17941558400623003
161071,15,0,15,0.08052335501098033,0.08052335501098033
161349,2,0,2,-0.08637001916441789,-0.08637001916441789
161983,1,0,1,-0.11999512916455579,-0.11999512916455579
161984,1,0,1,-0.9133662423661262,-0.9133662423661262
161996,3,0,3,-0.1217345410851934,-0.1217345410851934
162027,3,0,3,-0.31288027611561436,-0.31288027611561436
162028,2,0,2,-0.10756056931185176,-0.10756056931185176
162037,2,0,2,0.30037502888459877,0.30037502888459877
162039,1,0,1,-0.1983850150085189,-0.1983850150085189
162042,2,0,2,-0.6010988194958937,-0.6010988194958937
162410,2,1,1,-0.13509066835290606,-1.3390668327075654
162465,1,0,1,0.023367899307657147,0.023367899307657147
163238,8,2,6,-0.35850657460093005,-0.9024413800976712
163261,5,0,5,-0.031966082775302954,-0.031966082775302954
163607,3,2,1,-0.12999658570579933,0.6711403955837789
164274,2,0,2,-0.4971138943406498,-0.4971138943406498
165471,3,0,3,-0.46962767277882245,-0.46962767277882245
165733,1,0,1,-0.5133221313986878,-0.5133221313986878
168201,2,1,1,-1.282375045474121,-3.4251812542221227
169658,1,0,1,-1.2734841931517855,-1.2734841931517855
169823,5,0,5,-0.7679233389402792,-0.7679233389402792
172015,1,0,1,0.49676747994098536,0.49676747994098536
174734,2,0,2,-1.13072659767958,-1.13072659767958
175932,2,0,2,-1.1213730928087207,-1.1213730928087207
176133,2,0,2,-1.2545810789430276,-1.2545810789430276
176239,2,0,2,-1.1729335369881277,-1.1729335369881277
176727,2,0,2,-0.45078992412668906,-0.45078992412668906
179056,4,1,3,0.018263361923662236,0.04979730163767937
181190,1,0,1,-1.7921429009678835,-1.7921429009678835
183308,2,0,2,-1.1204847459120053,-1.1204847459120053
183575,2,0,2,-0.6680778397824905,-0.6680778397824905
184766,1,0,1,0.005409310148906776,0.005409310148906776
186612,2,1,1,-0.7363803233326682,-1.9111158201099316
187441,1,0,1,-0.4529042881666112,-0.4529042881666112
191249,15,3,12,-0.23344761442042203,-0.6347081051451725
192234,25,2,23,-0.05995005178983017,-0.1254958684531816
192762,1,0,1,-0.6007500577691971,-0.6007500577691971
193248,3,0,3,-1.1423487684347449,-1.1423487684347449
194379,2,1,1,-0.8829785810140867,-1.3833275711066886
196017,1,0,1,0.7991582144665426,0.7991582144665426
196184,2,0,2,-2.220446049250313e-16,-2.220446049250313e-16
196728,3,0,3,2.8765304580380278,2.8765304580380278
196820,3,0,3,-0.18788362455617,-0.18788362455617
196974,1,0,1,-0.6802464037463167,-0.6802464037463167
197135,2,0,2,-0.8363318390393878,-0.8363318390393878
197137,1,0,1,-1.1000480179925711,-1.1000480179925711
197140,1,0,1,-0.3030409040349755,-0.3030409040349755
197141,2,0,2,-0.0794963459771203,-0.0794963459771203
197142,3,0,3,-0.2822912565587317,-0.2822912565587317
197323,1,0,1,-0.0352083702028918,-0.0352083702028918
197509,3,0,3,-0.09041652843105534,-0.09041652843105534
197652,2,0,2,-0.11142968722466629,-0.11142968722466629
197836,2,0,2,0.028064223334731242,0.028064223334731242
198385,2,0,2,-0.29210871945382366,-0.29210871945382366
198570,3,0,3,-0.1233330852211562,-0.1233330852211562
198571,2,0,2,-0.08731117771813413,-0.08731117771813413
198572,3,0,3,-0.49911372341071153,-0.49911372341071153
198573,2,0,2,0.09280360457498626,0.09280360457498626
198583,1,0,1,-0.13611102359662608,-0.13611102359662608
198697,2,0,2,-0.8354450063411702,-0.8354450063411702
198715,2,0,2,-0.98567506880077,-0.98567506880077
198946,3,0,3,-0.2598978658566707,-0.2598978658566707
198971,2,0,2,-0.9011250866537959,-0.9011250866537959
198984,1,0,1,-0.21512113862370263,-0.21512113862370263
199012,2,0,2,-0.07562722806430489,-0.07562722806430489
199082,1,0,1,-0.5111464394523684,-0.5111464394523684
199083,3,0,3,-0.5865018029013561,-0.5865018029013561
199135,1,0,1,0.0,0.0
199224,1,0,1,-1.2809964615155147,-1.2809964615155147
199333,4,0,4,-0.3554371333744136,-0.3554371333744136
199448,1,0,1,0.6007500577691975,0.6007500577691975
199469,1,0,1,0.6007500577691971,0.6007500577691971
199471,1,0,1,-0.135624792646583,-0.135624792646583
199528,1,0,1,-0.6007500577691975,-0.6007500577691975
199661,1,0,1,-0.7799572944028546,-0.7799572944028546
199847,3,0,3,-0.5678335009790968,-0.5678335009790968
200048,1,0,1,-1.9612428652618314,-1.9612428652618314
200148,2,0,2,-0.7556060685597885,-0.7556060685597885
200173,1,0,1,-1.1521928435219966,-1.1521928435219966
200278,2,0,2,-0.24459534394183247,-0.24459534394183247
200367,1,0,1,-0.24397840357438216,-0.24397840357438216
200715,12,2,10,0.10406922601083117,-0.0405941057642301
201120,1,0,1,-0.8158711963929002,-0.8158711963929002
201245,4,0,4,-0.5388811486960132,-0.5388811486960132
201248,1,0,1,1.2911037338552238,1.2911037338552238
201249,1,0,1,-1.3804436553392092,-1.3804436553392092
201255,1,0,1,0.0,0.0
201518,1,0,1,-0.2584398857779351,-0.2584398857779351
201638,1,0,1,-0.6108573301089062,-0.6108573301089062
201642,2,1,1,0.31006000284683366,-0.08663749430846401
201864,2,0,2,-0.3401232018731586,-0.3401232018731586
202056,3,1,2,-0.2700169984647511,-1.270511189582544
202207,15,2,13,0.06011837181661277,0.02265576020878803
202272,1,0,1,-0.8065730582116211,-0.8065730582116211
202274,4,0,4,-0.1375887358008091,-0.1375887358008091
203002,2,0,2,-0.2182070984793767,-0.2182070984793767
203182,1,0,1,-0.0256193990304614,-0.0256193990304614
203209,2,0,2,-0.22383725861093495,-0.22383725861093495
203492,1,0,1,-1.0710963579394446,-1.0710963579394446
203635,1,0,1,-0.1589926919542406,-0.1589926919542406
203726,1,0,1,-0.29946200744013796,-0.29946200744013796
203739,3,0,3,-0.18176587138501196,-0.18176587138501196
203767,2,0,2,-0.26062685589603873,-0.26062685589603873
203773,2,0,2,-0.5063758537084309,-0.5063758537084309
203852,2,0,2,-0.5681128084077292,-0.5681128084077292
203914,2,0,2,-0.10877823212762538,-0.10877823212762538
204015,1,0,1,-1.8022501733075913,-1.8022501733075913
204180,2,0,2,0.03587905507574507,0.03587905507574507
204330,1,0,1,-0.7597427497234372,-0.7597427497234372
205349,2,0,2,-0.3120589785384271,-0.3120589785384271
205405,1,0,1,0.4301693632111485,0.4301693632111485
206010,1,0,1,-0.22118623728658138,-0.22118623728658138
206011,2,0,2,-0.7385539963604153,-0.7385539963604153
206215,4,1,3,-0.40950258614785706,-1.1276747769184896
206565,2,0,2,-0.2859236658205544,-0.2859236658205544
206638,1,0,1,-1.2193456237037332,-1.2193456237037332
206732,3,0,3,-0.10239651779634551,-0.10239651779634551
206764,2,0,2,-0.06781239632329128,-0.06781239632329128
206768,1,0,1,-0.21512113862370308,-0.21512113862370308
207147,1,0,1,-0.4140155262710925,-0.4140155262710925
207321,2,0,2,-0.14346250480145195,-0.14346250480145195
207542,2,0,2,-0.12098226728929773,-0.12098226728929773
207543,2,0,2,-0.4227442734032747,-0.4227442734032747
207685,2,0,2,-1.1768938455647742,-1.1768938455647742
207701,4,0,4,-0.6285739964913328,-0.6285739964913328
207876,1,0,1,-0.1589926919542397,-0.1589926919542397
208095,2,0,2,-0.42804913720686577,-0.42804913720686577
208151,2,0,2,-0.05554435603022534,-0.05554435603022534
208238,2,0,2,-0.19851540121644162,-0.19851540121644162
208349,2,0,2,-0.8324218190480139,-0.8324218190480139
208418,2,0,2,-0.20801021499661054,-0.20801021499661054
208431,1,0,1,-0.385628919145494,-0.385628919145494
208671,1,0,1,1.2015001155383946,1.2015001155383946
208677,1,0,1,0.004947922786915804,0.004947922786915804
208751,1,0,1,0.31456833244739757,0.31456833244739757
208851,1,0,1,-0.15508940954311345,-0.15508940954311345
209211,1,0,1,0.08960361831682917,0.08960361831682917
209242,2,0,2,-0.2159568951540458,-0.2159568951540458
209662,1,0,1,-0.1589926919542397,-0.1589926919542397
209942,3,1,2,0.1682615677879924,-0.03768233159634926
210360,2,0,2,-0.2409079637801954,-0.2409079637801954
210656,2,0,2,-0.04853907865480789,-0.04853907865480789
210667,3,0,3,-0.13633227281771707,-0.13633227281771707
210723,1,0,1,-0.1346555640265863,-0.1346555640265863
210803,3,0,3,-1.4802973661668753e-16,-1.4802973661668753e-16
210804,1,0,1,0.07175811015149014,0.07175811015149014
210839,1,0,1,0.0,0.0
211414,1,0,1,-0.33087840065142693,-0.33087840065142693
211428,1,0,1,-0.05612844666946337,-0.05612844666946337
211789,1,0,1,-4.440892098500626e-16,-4.440892098500626e-16
211799,1,0,1,-0.15415105707609156,-0.15415105707609156
211869,2,0,2,-0.6158919607841371,-0.6158919607841371
212087,2,0,2,-1.4477948038579616,-1.4477948038579616
212195,1,0,1,1.0425074235841545,1.0425074235841545
212821,3,0,3,-0.4217889326778292,-0.4217889326778292
214487,2,0,2,-0.13092846861950846,-0.13092846861950846
214493,1,0,1,-0.033475171647365354,-0.033475171647365354
214794,2,0,2,-1.1320446703717806,-1.1320446703717806
214817,3,0,3,-0.6246694278196938,-0.6246694278196938
215072,3,0,3,-0.36529496635621267,-0.36529496635621267
215161,2,0,2,-0.2147441386117479,-0.2147441386117479
215246,2,0,2,-0.14730874230041135,-0.14730874230041135
215676,3,0,3,0.08167203114557482,0.08167203114557482
215763,1,0,1,-0.21512113862370263,-0.21512113862370263
216060,3,0,3,-0.3938497558972731,-0.3938497558972731
216466,3,0,3,-0.34916489607493517,-0.34916489607493517
216486,2,0,2,0.9459268958122107,0.9459268958122107
216637,3,0,3,-0.4189100395396282,-0.4189100395396282
216765,1,0,1,-0.10812988274633728,-0.10812988274633728
216813,2,0,2,-1.0998659515965956,-1.0998659515965956
217209,2,0,2,-0.19078213307030678,-0.19078213307030678
218136,1,0,1,-0.1690999642939488,-0.1690999642939488
218206,1,0,1,-0.31456833244739757,-0.31456833244739757
218433,1,0,1,-1.2015001155383946,-1.2015001155383946
218477,1,0,1,-1.3080080284268818,-1.3080080284268818
219331,1,0,1,-0.6007500577691971,-0.6007500577691971
219337,4,0,4,-0.3251689010488713,-0.3251689010488713
219419,2,0,2,0.044801809158414585,0.044801809158414585
220178,2,0,2,-0.30037502888459855,-0.30037502888459855
220219,2,0,2,-0.005053636169854769,-0.005053636169854769
220584,1,0,1,0.5212537117920779,0.5212537117920779
220631,4,0,4,0.03323059136776518,0.03323059136776518
220990,1,1,0,-0.38233667325154963,
220996,3,0,3,-0.1637318638685977,-0.1637318638685977
221630,1,0,1,-0.07949634597711963,-0.07949634597711963
221638,1,0,1,-0.6007500577691971,-0.6007500577691971
221639,1,0,1,-0.5239773445687734,-0.5239773445687734
221640,2,0,2,-0.30037502888459877,-0.30037502888459877
221641,1,0,1,0.6007500577691975,0.6007500577691975
221663,2,0,2,-0.39843079448725693,-0.39843079448725693
221665,2,0,2,-0.6802464037463172,-0.6802464037463172
222474,2,0,2,-0.007661525889022247,-0.007661525889022247
222731,1,0,1,-0.6007500577691971,-0.6007500577691971
222934,2,0,2,-0.8492895481772724,-0.8492895481772724
223074,3,0,3,-0.05914122908133838,-0.05914122908133838
223075,2,0,2,-0.5864127943080025,-0.5864127943080025
223487,1,0,1,0.08960361831682917,0.08960361831682917
223956,2,0,2,0.0016461229469717509,0.0016461229469717509
224021,1,0,1,-0.7597427497234368,-0.7597427497234368
224422,1,0,1,-0.46512526512261454,-0.46512526512261454
224532,1,0,1,-0.1589926919542397,-0.1589926919542397
224681,4,0,4,-0.03650839721284971,-0.03650839721284971
224901,1,0,1,-2.3928929587370797,-2.3928929587370797
224906,1,0,1,-0.07949634597711963,-0.07949634597711963
224936,7,2,5,0.7471488642074589,1.0575428209222761
225034,1,0,1,1.8817465192847114,1.8817465192847114
225200,1,0,1,0.7547554850827836,0.7547554850827836
225258,1,0,1,-1.2015001155383946,-1.2015001155383946
225535,3,0,3,-0.532602018703201,-0.532602018703201
226125,2,0,2,0.19281445957274723,0.19281445957274723
226126,2,0,2,-0.7133642632509027,-0.7133642632509027
226133,1,0,1,0.08960361831682917,0.08960361831682917
226244,1,0,1,-0.07949634597711963,-0.07949634597711963
226455,1,0,1,-1.1453716688689313,-1.1453716688689313
226951,2,0,2,-1.4333588399857804,-1.4333588399857804
227026,2,0,2,-0.40153074843883485,-0.40153074843883485
227039,5,0,5,-0.01990817128063287,-0.01990817128063287
227476,1,0,1,0.0756120929295605,0.0756120929295605
227513,1,0,1,-0.36637559475231285,-0.36637559475231285
227669,1,1,0,0.3974817298856004,
227935,2,0,2,-1.1258609572878218,-1.1258609572878218
228031,1,0,1,-0.5906427854294893,-0.5906427854294893
228275,1,0,1,-0.135624792646583,-0.135624792646583
228367,1,0,1,-0.5111464394523684,-0.5111464394523684
228401,1,0,1,-0.6241179570768551,-0.6241179570768551
228404,1,0,1,-1.1442550728009788,-1.1442550728009788
228441,2,0,2,-0.6007500577691971,-0.6007500577691971
228486,1,0,1,0.6007500577691971,0.6007500577691971
228754,1,0,1,0.23848903793135934,0.23848903793135934
228998,2,0,2,0.018559419625538753,0.018559419625538753
229172,2,0,2,-0.434881895843247,-0.434881895843247
229197,1,0,1,-0.010107272339709095,-0.010107272339709095
229426,3,1,2,0.045470771518450505,-1.2388267715792796
229778,2,1,1,-0.6885040843459278,-1.7114124767580983
229910,1,0,1,-0.984971160686849,-0.984971160686849
229942,2,0,2,-0.14818384394489925,-0.14818384394489925
229959,2,0,2,-0.16701647467196423,-0.16701647467196423
230141,2,0,2,4.440892098500626e-16,4.440892098500626e-16
230155,3,0,3,-0.0614436283130814,-0.0614436283130814
230242,1,0,1,-0.04602117432975428,-0.04602117432975428
230289,1,0,1,-0.5889015785402023,-0.5889015785402023
230354,2,1,1,-0.763187935699922,-1.9050064915732958
230701,2,1,1,-0.9079725027678452,-2.6514128827898698
231509,1,0,1,0.07949634597712052,0.07949634597712052
231689,1,0,1,-1.8425640892673099,-1.8425640892673099
231717,2,0,2,0.10378853828501566,0.10378853828501566
232142,2,0,2,0.377489996830527,0.377489996830527
232548,3,0,3,-0.16376304859887267,-0.16376304859887267
