a_id,group,n_days,real_post_lag,real_post_ccf,real_pre_ccf,real_responder,null_post_ccf_0,null_responder_0,null_post_ccf_1,null_responder_1,null_post_ccf_2,null_responder_2,null_post_ccf_3,null_responder_3,null_post_ccf_4,null_responder_4,null_post_ccf_5,null_responder_5,null_post_ccf_6,null_responder_6,null_post_ccf_7,null_responder_7,null_post_ccf_8,null_responder_8,null_post_ccf_9,null_responder_9
198388,bot,156,3,0.22190251095926591,0.6341463480661804,False,-0.016372941968643785,False,0.020551302138963418,False,-0.01637294196864379,False,-0.01637294196864379,False,-0.016372941968643785,False,-0.016372941968643785,False,-0.016372941968643782,False,-0.01637294196864379,False,-0.016372941968643785,False,-0.01637294196864379,False
198560,bot,250,2,-0.15124712777487134,-0.11215391009470806,True,-0.110253588989697,True,0.16841267705863516,True,0.11082065562179917,False,0.14648963415943964,True,0.07102860899503279,False,0.0939127216000875,False,0.21304836474760772,True,0.07037835909208105,False,0.13119560027533203,False,0.1898339207170506,True
198565,bot,166,8,0.09306853474487237,0.19744945346284237,False,0.21548629629867586,False,-0.034741163305054445,False,-0.034741163305054445,False,-0.034741163305054445,False,-0.034741163305054445,False,-0.034741163305054445,False,-0.034741163305054445,False,-0.034741163305054445,False,0.21445176416594722,True,0.21445176416594725,False
198570,bot,35,2,-0.047805552399019145,0.4596839687294114,False,0.05807781985665965,False,0.06459675882016226,False,0.06242377916566136,False,0.05590484020215878,False,0.06459675882016226,False,0.06242377916566136,False,0.05590484020215878,False,-0.04780555239901915,False,0.06459675882016226,False,0.0495834448436108,False
198572,bot,155,1,0.24426925184233225,0.9141182953229221,False,-0.01311641280801675,False,-0.013116412808016755,False,-0.013116412808016755,False,0.10365097504801085,True,-0.013116412808016746,False,0.10365097504801085,True,-0.013116412808016752,False,-0.01311641280801675,False,-0.013116412808016755,False,-0.013116412808016755,False
198574,bot,165,1,0.4843754249199852,0.44132919150535693,True,-0.0162516864976498,False,-0.016251686497649805,False,0.13795789694376573,True,-0.0162516864976498,False,-0.01625168649764979,False,-0.016251686497649798,False,0.13795789694376573,True,-0.016251686497649798,False,-0.016251686497649794,False,-0.016251686497649794,False
198575,bot,169,4,0.08866280608024037,0.6479859615615913,False,-0.012627025148951058,False,-0.012627025148951056,False,-0.012627025148951062,False,-0.012627025148951062,False,-0.012627025148951058,False,-0.012627025148951062,False,-0.012627025148951058,False,-0.012627025148951058,False,-0.012627025148951056,False,-0.012627025148951056,False
198577,bot,161,10,0.11593980802522999,0.4460906925422587,False,-0.012826181898236469,False,0.2770129743123619,True,0.11643361511385453,True,-0.02077647602509144,False,-0.020776476025091438,False,-0.02077647602509144,False,-0.02077647602509145,False,-0.02077647602509144,False,-0.020776476025091445,False,-0.02077647602509144,False
198581,bot,152,3,-0.02109858062515992,0.6473106920144646,False,-0.02109858062515993,False,-0.021098580625159923,False,-0.021098580625159923,False,-0.021098580625159933,False,-0.02109858062515993,False,-0.021098580625159933,False,-0.021098580625159926,False,-0.02109858062515993,False,-0.021098580625159936,False,-0.021098580625159926,False
198676,bot,313,2,0.3146583919899686,-0.025019337021509,True,0.2984001827130757,False,0.07977303388249429,True,0.06605763044252538,False,0.2976719105273673,True,0.1889500572629647,True,0.17276964007071008,True,0.05297946516505126,False,0.0468014452126407,True,0.07977303388249436,True,0.1457162112222016,True
198696,bot,175,6,0.09112036626484207,0.40494027797602355,False,-0.02240560098937015,False,-0.022405600989370156,False,-0.022405600989370156,False,-0.022405600989370156,False,-0.022405600989370156,False,-0.02240560098937015,False,-0.02240560098937016,False,0.19182747851806084,False,-0.02240560098937015,False,-0.022032174306213972,False
198699,bot,146,3,0.5526045819514678,0.5431736391842857,True,-0.03245632142953235,False,-0.032456321429532344,False,-0.03245632142953235,False,-0.032456321429532344,False,-0.03245632142953234,False,-0.03245632142953236,False,-0.03245632142953235,False,-0.032456321429532344,False,-0.03245632142953235,False,-0.032456321429532344,False
198814,bot,163,5,0.10497391875592407,0.4921304119452117,False,-0.01819428866809716,False,0.16349236386062138,True,0.4594949439343337,True,-0.01819428866809716,False,-0.01819428866809716,False,-0.018194288668097164,False,0.4644948376195308,True,-0.018194288668097164,False,-0.018194288668097164,False,0.4703477359068172,True
198939,bot,156,2,0.18609866102135772,-0.014294583577458334,True,-0.003800677515888927,False,-0.0038006775158889285,False,-0.0038006775158889216,False,-0.0038006775158889216,False,-0.0038006775158889237,False,-0.0038006775158889203,False,-0.0038006775158889203,False,-0.0038006775158889172,False,-0.0038006775158889216,False,-0.003800677515888926,False
198952,bot,158,1,-0.015532297462920511,-0.016802233733473764,False,-0.015532297462920515,False,-0.015532297462920518,False,-0.015532297462920511,False,-0.015532297462920518,False,0.5189713190036735,True,0.5189713190036735,True,-0.015532297462920515,False,-0.015532297462920518,False,-0.015532297462920518,False,-0.015532297462920515,False
198968,bot,159,8,0.14502711744759875,0.41308962883108086,False,-0.023875039273332538,False,0.1174695412585337,False,0.059962391119395934,False,-0.023875039273332538,False,-0.023875039273332527,False,-0.023875039273332527,False,-0.023875039273332534,False,-0.023875039273332538,False,-0.023875039273332548,False,-0.023875039273332527,False
